location,time,cpi_goods,date
HUN,2008-01,7.319486,Jan 2008
HUN,2008-02,7.324219,Feb 2008
HUN,2008-03,6.96999,Mar 2008
HUN,2008-04,7.135969,Apr 2008
HUN,2008-05,7.758621,May 2008
HUN,2008-06,7.545368,Jun 2008
HUN,2008-07,7.478427,Jul 2008
HUN,2008-08,7.211538,Aug 2008
HUN,2008-09,6.17284,Sep 2008
HUN,2008-10,5.357143,Oct 2008
HUN,2008-11,4.193849,Nov 2008
HUN,2008-12,3.156917,Dec 2008
HUN,2009-01,2.949309,Jan 2009
HUN,2009-02,2.820746,Feb 2009
HUN,2009-03,2.714932,Mar 2009
HUN,2009-04,3.060306,Apr 2009
HUN,2009-05,3.822222,May 2009
HUN,2009-06,3.6412079999999998,Jun 2009
HUN,2009-07,4.638715,Jul 2009
HUN,2009-08,4.394619,Aug 2009
HUN,2009-09,4.382826,Sep 2009
HUN,2009-10,4.192685,Oct 2009
HUN,2009-11,4.830054,Nov 2009
HUN,2009-12,5.40054,Dec 2009
HUN,2010-01,6.714414,Jan 2010
HUN,2010-02,5.575221,Feb 2010
HUN,2010-03,5.903084,Mar 2010
HUN,2010-04,5.58952,Apr 2010
HUN,2010-05,4.79452,May 2010
HUN,2010-06,5.141388,Jun 2010
HUN,2010-07,4.433078,Jul 2010
HUN,2010-08,4.123711,Aug 2010
HUN,2010-09,4.113111,Sep 2010
HUN,2010-10,4.708904,Oct 2010
HUN,2010-11,4.948805,Nov 2010
HUN,2010-12,5.636209,Dec 2010
HUN,2011-01,4.697987,Jan 2011
HUN,2011-02,5.11316,Feb 2011
HUN,2011-03,5.740433,Mar 2011
HUN,2011-04,5.955335,Apr 2011
HUN,2011-05,4.820261,May 2011
HUN,2011-06,4.07498,Jun 2011
HUN,2011-07,3.510204,Jul 2011
HUN,2011-08,4.290429,Aug 2011
HUN,2011-09,4.115226,Sep 2011
HUN,2011-10,4.578904,Oct 2011
HUN,2011-11,5.04065,Nov 2011
HUN,2011-12,4.688763,Dec 2011
HUN,2012-01,5.849359,Jan 2012
HUN,2012-02,6.539075,Feb 2012
HUN,2012-03,6.215578,Mar 2012
HUN,2012-04,6.401249,Apr 2012
HUN,2012-05,5.923616,May 2012
HUN,2012-06,6.264683,Jun 2012
HUN,2012-07,6.545742,Jul 2012
HUN,2012-08,6.962025,Aug 2012
HUN,2012-09,7.588933,Sep 2012
HUN,2012-10,6.802189,Oct 2012
HUN,2012-11,5.572755,Nov 2012
HUN,2012-12,5.173745,Dec 2012
HUN,2013-01,3.936412,Jan 2013
HUN,2013-02,2.39521,Feb 2013
HUN,2013-03,1.407407,Mar 2013
HUN,2013-04,0.7336757,Apr 2013
HUN,2013-05,0.6622517,May 2013
HUN,2013-06,0.9579956,Jun 2013
HUN,2013-07,0.8882309,Jul 2013
HUN,2013-08,0.443787,Aug 2013
HUN,2013-09,0.2939015,Sep 2013
HUN,2013-10,-0.5856515,Oct 2013
