location,time,cpi,date
DNK,1967-01,10.87259,Jan 1967
DNK,1967-02,10.91937,Feb 1967
DNK,1967-03,10.94744,Mar 1967
DNK,1967-04,11.00358,Apr 1967
DNK,1967-05,11.04101,May 1967
DNK,1967-06,11.12522,Jun 1967
DNK,1967-07,11.76148,Jul 1967
DNK,1967-08,11.79891,Aug 1967
DNK,1967-09,11.82698,Sep 1967
DNK,1967-10,11.87376,Oct 1967
DNK,1967-11,11.95798,Nov 1967
DNK,1967-12,11.97669,Dec 1967
DNK,1968-01,12.00476,Jan 1968
DNK,1968-02,12.03283,Feb 1968
DNK,1968-03,12.09833,Mar 1968
DNK,1968-04,12.32289,Apr 1968
DNK,1968-05,12.41646,May 1968
DNK,1968-06,12.45389,Jun 1968
DNK,1968-07,12.44453,Jul 1968
DNK,1968-08,12.42582,Aug 1968
DNK,1968-09,12.44453,Sep 1968
DNK,1968-10,12.45389,Oct 1968
DNK,1968-11,12.49131,Nov 1968
DNK,1968-12,12.49131,Dec 1968
DNK,1969-01,12.51938,Jan 1969
DNK,1969-02,12.54745,Feb 1969
DNK,1969-03,12.56617,Mar 1969
DNK,1969-04,12.60359,Apr 1969
DNK,1969-05,12.68781,May 1969
DNK,1969-06,12.76266,Jun 1969
DNK,1969-07,12.76266,Jul 1969
DNK,1969-08,12.82816,Aug 1969
DNK,1969-09,12.87494,Sep 1969
DNK,1969-10,12.94044,Oct 1969
DNK,1969-11,13.05272,Nov 1969
DNK,1969-12,13.0995,Dec 1969
DNK,1970-01,13.12757,Jan 1970
DNK,1970-02,13.22114,Feb 1970
DNK,1970-03,13.296,Mar 1970
DNK,1970-04,13.33342,Apr 1970
DNK,1970-05,13.45506,May 1970
DNK,1970-06,13.46442,Jun 1970
DNK,1970-07,13.73577,Jul 1970
DNK,1970-08,13.76384,Aug 1970
DNK,1970-09,13.88548,Sep 1970
DNK,1970-10,13.9229,Oct 1970
DNK,1970-11,14.01647,Nov 1970
DNK,1970-12,14.00711,Dec 1970
DNK,1971-01,14.00711,Jan 1971
DNK,1971-02,14.00711,Feb 1971
DNK,1971-03,14.01647,Mar 1971
DNK,1971-04,14.15682,Apr 1971
DNK,1971-05,14.38138,May 1971
DNK,1971-06,14.42817,Jun 1971
DNK,1971-07,14.44688,Jul 1971
DNK,1971-08,14.50302,Aug 1971
DNK,1971-09,14.60595,Sep 1971
DNK,1971-10,14.67144,Oct 1971
DNK,1971-11,14.77437,Nov 1971
DNK,1971-12,14.8118,Dec 1971
DNK,1972-01,14.83051,Jan 1972
DNK,1972-02,14.89601,Feb 1972
DNK,1972-03,14.99893,Mar 1972
DNK,1972-04,15.10186,Apr 1972
DNK,1972-05,15.25157,May 1972
DNK,1972-06,15.35449,Jun 1972
DNK,1972-07,15.38256,Jul 1972
DNK,1972-08,15.4387,Aug 1972
DNK,1972-09,15.56034,Sep 1972
DNK,1972-10,15.67262,Oct 1972
DNK,1972-11,15.80362,Nov 1972
DNK,1972-12,15.85976,Dec 1972
DNK,1973-01,15.88783,Jan 1973
DNK,1973-02,16.05625,Feb 1973
DNK,1973-03,16.14982,Mar 1973
DNK,1973-04,16.36502,Apr 1973
DNK,1973-05,16.57087,May 1973
DNK,1973-06,16.70187,Jun 1973
DNK,1973-07,16.81415,Jul 1973
DNK,1973-08,16.91707,Aug 1973
DNK,1973-09,17.09485,Sep 1973
DNK,1973-10,17.29135,Oct 1973
DNK,1973-11,17.58141,Nov 1973
DNK,1973-12,17.85275,Dec 1973
DNK,1974-01,18.17089,Jan 1974
DNK,1974-02,18.22703,Feb 1974
DNK,1974-03,18.38609,Mar 1974
DNK,1974-04,18.69486,Apr 1974
DNK,1974-05,18.93814,May 1974
DNK,1974-06,19.26563,Jun 1974
DNK,1974-07,19.49955,Jul 1974
DNK,1974-08,19.61183,Aug 1974
DNK,1974-09,19.93932,Sep 1974
DNK,1974-10,20.20131,Oct 1974
DNK,1974-11,20.48201,Nov 1974
DNK,1974-12,20.61301,Dec 1974
DNK,1975-01,20.63172,Jan 1975
DNK,1975-02,20.68786,Feb 1975
DNK,1975-03,20.84693,Mar 1975
DNK,1975-04,20.91242,Apr 1975
DNK,1975-05,21.19313,May 1975
DNK,1975-06,21.31477,Jun 1975
DNK,1975-07,21.42705,Jul 1975
DNK,1975-08,21.49254,Aug 1975
DNK,1975-09,21.68904,Sep 1975
DNK,1975-10,21.13699,Oct 1975
DNK,1975-11,21.48319,Nov 1975
DNK,1975-12,21.5019,Dec 1975
DNK,1976-01,21.62354,Jan 1976
DNK,1976-02,21.77325,Feb 1976
DNK,1976-03,22.71828,Mar 1976
DNK,1976-04,22.78378,Apr 1976
DNK,1976-05,23.0177,May 1976
DNK,1976-06,22.96156,Jun 1976
DNK,1976-07,22.98027,Jul 1976
DNK,1976-08,23.13934,Aug 1976
DNK,1976-09,23.7101,Sep 1976
DNK,1976-10,23.97209,Oct 1976
DNK,1976-11,24.24344,Nov 1976
DNK,1976-12,24.30894,Dec 1976
DNK,1977-01,24.30852,Jan 1977
DNK,1977-02,24.32971,Feb 1977
DNK,1977-03,24.68999,Mar 1977
DNK,1977-04,24.94431,Apr 1977
DNK,1977-05,25.30459,May 1977
DNK,1977-06,25.43175,Jun 1977
DNK,1977-07,25.6013,Jul 1977
