location,time,cpi_services,date
MEX,1982-01,31.5789,Jan 1982
MEX,1982-02,34.25248,Feb 1982
MEX,1982-03,34.69881,Mar 1982
MEX,1982-04,39.26722,Apr 1982
MEX,1982-05,46.56267,May 1982
MEX,1982-06,56.54219,Jun 1982
MEX,1982-07,60.06334,Jul 1982
MEX,1982-08,74.99416,Aug 1982
MEX,1982-09,79.78194,Sep 1982
MEX,1982-10,80.68817,Oct 1982
MEX,1982-11,83.8101,Nov 1982
MEX,1982-12,97.86798,Dec 1982
MEX,1983-01,122.6249,Jan 1983
MEX,1983-02,119.0903,Feb 1983
MEX,1983-03,118.4999,Mar 1983
MEX,1983-04,117.9934,Apr 1983
MEX,1983-05,112.91,May 1983
MEX,1983-06,106.2231,Jun 1983
MEX,1983-07,109.3482,Jul 1983
MEX,1983-08,97.77941,Aug 1983
MEX,1983-09,96.66576,Sep 1983
MEX,1983-10,96.13612,Oct 1983
MEX,1983-11,97.34484,Nov 1983
MEX,1983-12,87.55239,Dec 1983
MEX,1984-01,71.21871,Jan 1984
MEX,1984-02,74.89448,Feb 1984
MEX,1984-03,77.15076,Mar 1984
MEX,1984-04,72.73217,Apr 1984
MEX,1984-05,71.83632,May 1984
MEX,1984-06,71.00022,Jun 1984
MEX,1984-07,68.02869,Jul 1984
MEX,1984-08,64.78271,Aug 1984
MEX,1984-09,65.62623,Sep 1984
MEX,1984-10,65.30997,Oct 1984
MEX,1984-11,61.34658,Nov 1984
MEX,1984-12,58.10048,Dec 1984
MEX,1985-01,59.59028,Jan 1985
MEX,1985-02,57.51089,Feb 1985
MEX,1985-03,55.78011,Mar 1985
MEX,1985-04,56.77254,Apr 1985
MEX,1985-05,57.37069,May 1985
MEX,1985-06,56.57796,Jun 1985
MEX,1985-07,57.88357,Jul 1985
MEX,1985-08,60.76402,Aug 1985
MEX,1985-09,64.40552,Sep 1985
MEX,1985-10,65.26696,Oct 1985
MEX,1985-11,67.21049,Nov 1985
MEX,1985-12,70.92988,Dec 1985
MEX,1986-01,78.37221,Jan 1986
MEX,1986-02,77.45594,Feb 1986
MEX,1986-03,78.32411,Mar 1986
MEX,1986-04,79.77589,Apr 1986
MEX,1986-05,81.17889,May 1986
MEX,1986-06,87.31034,Jun 1986
MEX,1986-07,91.69101,Jul 1986
MEX,1986-08,104.4722,Aug 1986
MEX,1986-09,102.3764,Sep 1986
MEX,1986-10,104.3838,Oct 1986
MEX,1986-11,109.6285,Nov 1986
MEX,1986-12,112.4276,Dec 1986
MEX,1987-01,110.6606,Jan 1987
MEX,1987-02,113.5105,Feb 1987
MEX,1987-03,115.1526,Mar 1987
MEX,1987-04,122.9283,Apr 1987
MEX,1987-05,133.6919,May 1987
MEX,1987-06,136.055,Jun 1987
MEX,1987-07,142.5396,Jul 1987
MEX,1987-08,133.8814,Aug 1987
MEX,1987-09,135.02,Sep 1987
MEX,1987-10,146.4982,Oct 1987
MEX,1987-11,150.3989,Nov 1987
MEX,1987-12,180.711,Dec 1987
MEX,1988-01,196.1433,Jan 1988
MEX,1988-02,195.1608,Feb 1988
MEX,1988-03,193.2904,Mar 1988
MEX,1988-04,178.0164,Apr 1988
MEX,1988-05,159.5109,May 1988
MEX,1988-06,144.026,Jun 1988
MEX,1988-07,124.2855,Jul 1988
MEX,1988-08,109.2754,Aug 1988
MEX,1988-09,101.1866,Sep 1988
MEX,1988-10,85.36613,Oct 1988
MEX,1988-11,73.48701,Nov 1988
MEX,1988-12,46.52635,Dec 1988
MEX,1989-01,28.24415,Jan 1989
MEX,1989-02,24.69547,Feb 1989
MEX,1989-03,22.14002,Mar 1989
MEX,1989-04,20.52488,Apr 1989
MEX,1989-05,19.76495,May 1989
MEX,1989-06,19.23719,Jun 1989
MEX,1989-07,19.71394,Jul 1989
MEX,1989-08,20.30992,Aug 1989
MEX,1989-09,20.88796,Sep 1989
MEX,1989-10,22.71182,Oct 1989
MEX,1989-11,23.51224,Nov 1989
MEX,1989-12,27.33894,Dec 1989
MEX,1990-01,32.99433,Jan 1990
MEX,1990-02,32.1601,Feb 1990
MEX,1990-03,31.87356,Mar 1990
MEX,1990-04,32.6564,Apr 1990
MEX,1990-05,34.16958,May 1990
