location,time,cpi_total,date
POL,1990-01,1007.6,Jan 1990
POL,1990-02,1183.1,Feb 1990
POL,1990-03,1132.8,Mar 1990
POL,1990-04,1102.9,Apr 1990
POL,1990-05,1076.5,May 1990
POL,1990-06,1051.2,Jun 1990
POL,1990-07,994,Jul 1990
POL,1990-08,748.5,Aug 1990
POL,1990-09,558,Sep 1990
POL,1990-10,356,Oct 1990
POL,1990-11,285.9,Nov 1990
POL,1990-12,249.3,Dec 1990
POL,1991-01,94.9,Jan 1991
POL,1991-02,80,Feb 1991
POL,1991-03,81.8,Mar 1991
POL,1991-04,71,Apr 1991
POL,1991-05,67.8,May 1991
POL,1991-06,72.4,Jun 1991
POL,1991-07,68.3,Jul 1991
POL,1991-08,67.6,Aug 1991
POL,1991-09,67.1,Sep 1991
POL,1991-10,64.8,Oct 1991
POL,1991-11,62.7,Nov 1991
POL,1991-12,60.4,Dec 1991
POL,1992-01,45.4,Jan 1992
POL,1992-02,40.1,Feb 1992
POL,1992-03,38.1,Mar 1992
POL,1992-04,40.2,Apr 1992
POL,1992-05,43.2,May 1992
POL,1992-06,39,Jun 1992
POL,1992-07,41.3,Jul 1992
POL,1992-08,44.3,Aug 1992
POL,1992-09,46.5,Sep 1992
POL,1992-10,46.4,Oct 1992
POL,1992-11,45.4,Nov 1992
POL,1992-12,44.3,Dec 1992
POL,1993-01,37.5,Jan 1993
POL,1993-02,39.7,Feb 1993
POL,1993-03,39.7,Mar 1993
POL,1993-04,38.1,Apr 1993
POL,1993-05,35.8,May 1993
POL,1993-06,34.3,Jun 1993
POL,1993-07,34.8,Jul 1993
POL,1993-08,34.4,Aug 1993
POL,1993-09,31,Sep 1993
POL,1993-10,29.8,Oct 1993
POL,1993-11,33,Nov 1993
POL,1993-12,37.6,Dec 1993
POL,1994-01,32.4,Jan 1994
POL,1994-02,29.9,Feb 1994
POL,1994-03,30.2,Mar 1994
POL,1994-04,31.2,Apr 1994
POL,1994-05,31.2,May 1994
POL,1994-06,32.7,Jun 1994
POL,1994-07,32.8,Jul 1994
POL,1994-08,32.2,Aug 1994
POL,1994-09,34.6,Sep 1994
POL,1994-10,36.1,Oct 1994
POL,1994-11,33.5,Nov 1994
POL,1994-12,29.5,Dec 1994
POL,1995-01,32.3,Jan 1995
POL,1995-02,33.6,Feb 1995
POL,1995-03,33.1,Mar 1995
POL,1995-04,32.4,Apr 1995
POL,1995-05,32.3,May 1995
POL,1995-06,30.3,Jun 1995
POL,1995-07,27.6,Jul 1995
POL,1995-08,25.7,Aug 1995
POL,1995-09,24.2,Sep 1995
POL,1995-10,22.4,Oct 1995
POL,1995-11,22,Nov 1995
POL,1995-12,21.6,Dec 1995
POL,1996-01,21,Jan 1996
POL,1996-02,20.4,Feb 1996
POL,1996-03,20.4,Mar 1996
POL,1996-04,20.3,Apr 1996
POL,1996-05,19.8,May 1996
POL,1996-06,19.5,Jun 1996
POL,1996-07,20.4,Jul 1996
POL,1996-08,20.5,Aug 1996
POL,1996-09,19.5,Sep 1996
POL,1996-10,19.5,Oct 1996
POL,1996-11,19.1,Nov 1996
POL,1996-12,18.5,Dec 1996
POL,1997-01,17.8,Jan 1997
POL,1997-02,17.3,Feb 1997
POL,1997-03,16.6,Mar 1997
POL,1997-04,15.3,Apr 1997
POL,1997-05,14.6,May 1997
POL,1997-06,15.3,Jun 1997
POL,1997-07,14.9,Jul 1997
POL,1997-08,14.5,Aug 1997
POL,1997-09,13.6,Sep 1997
POL,1997-10,13.1,Oct 1997
POL,1997-11,13.2,Nov 1997
POL,1997-12,13.2,Dec 1997
