location,time,ppi_dom_con,date
AUT,2000-01,84.82051,Jan 2000
AUT,2000-02,84.63451,Feb 2000
AUT,2000-03,84.35549,Mar 2000
AUT,2000-04,84.07648,Apr 2000
AUT,2000-05,84.5415,May 2000
AUT,2000-06,84.72751,Jun 2000
AUT,2000-07,83.98347,Jul 2000
AUT,2000-08,84.63451,Aug 2000
AUT,2000-09,84.44849,Sep 2000
AUT,2000-10,84.44849,Oct 2000
AUT,2000-11,84.07648,Nov 2000
AUT,2000-12,84.35549,Dec 2000
AUT,2001-01,85.19254,Jan 2001
AUT,2001-02,85.19254,Feb 2001
AUT,2001-03,85.09953,Mar 2001
AUT,2001-04,84.91352,Apr 2001
AUT,2001-05,85.19254,May 2001
AUT,2001-06,85.84357,Jun 2001
AUT,2001-07,85.75056,Jul 2001
AUT,2001-08,85.65755,Aug 2001
AUT,2001-09,85.65755,Sep 2001
AUT,2001-10,85.84357,Oct 2001
AUT,2001-11,85.93658,Nov 2001
AUT,2001-12,86.12258,Dec 2001
AUT,2002-01,86.4016,Jan 2002
AUT,2002-02,85.65755,Feb 2002
AUT,2002-03,85.56455,Mar 2002
AUT,2002-04,85.37854,Apr 2002
AUT,2002-05,85.84357,May 2002
AUT,2002-06,85.28554,Jun 2002
AUT,2002-07,85.19254,Jul 2002
AUT,2002-08,85.47155,Aug 2002
AUT,2002-09,85.37854,Sep 2002
AUT,2002-10,85.19254,Oct 2002
AUT,2002-11,85.00652,Nov 2002
AUT,2002-12,85.09953,Dec 2002
AUT,2003-01,85.00652,Jan 2003
AUT,2003-02,85.19254,Feb 2003
AUT,2003-03,84.63451,Mar 2003
AUT,2003-04,84.63451,Apr 2003
AUT,2003-05,84.26248,May 2003
AUT,2003-06,84.82051,Jun 2003
AUT,2003-07,84.72751,Jul 2003
AUT,2003-08,85.09953,Aug 2003
AUT,2003-09,85.28554,Sep 2003
AUT,2003-10,85.19254,Oct 2003
AUT,2003-11,84.91352,Nov 2003
AUT,2003-12,85.09953,Dec 2003
AUT,2004-01,85.00652,Jan 2004
AUT,2004-02,85.09953,Feb 2004
AUT,2004-03,84.82051,Mar 2004
AUT,2004-04,84.91352,Apr 2004
AUT,2004-05,84.91352,May 2004
AUT,2004-06,85.19254,Jun 2004
AUT,2004-07,85.37854,Jul 2004
AUT,2004-08,85.56455,Aug 2004
AUT,2004-09,85.65755,Sep 2004
AUT,2004-10,85.84357,Oct 2004
AUT,2004-11,86.30859,Nov 2004
AUT,2004-12,86.4016,Dec 2004
AUT,2005-01,86.30859,Jan 2005
AUT,2005-02,86.4016,Feb 2005
AUT,2005-03,86.49461,Mar 2005
AUT,2005-04,86.4016,Apr 2005
AUT,2005-05,86.30859,May 2005
AUT,2005-06,86.58761,Jun 2005
AUT,2005-07,86.4016,Jul 2005
AUT,2005-08,86.4016,Aug 2005
AUT,2005-09,86.4016,Sep 2005
AUT,2005-10,86.30859,Oct 2005
