location,time,ppi_dom_fin_stage,date
JPN,1970-01,73.55531,Jan 1970
JPN,1970-02,73.55531,Feb 1970
JPN,1970-03,73.55531,Mar 1970
JPN,1970-04,73.76106,Apr 1970
JPN,1970-05,73.86394,May 1970
JPN,1970-06,73.96681,Jun 1970
JPN,1970-07,73.96681,Jul 1970
JPN,1970-08,74.27544,Aug 1970
JPN,1970-09,74.78981,Sep 1970
JPN,1970-10,75.09843,Oct 1970
JPN,1970-11,75.20131,Nov 1970
JPN,1970-12,75.40706,Dec 1970
JPN,1971-01,75.20131,Jan 1971
JPN,1971-02,75.20131,Feb 1971
JPN,1971-03,75.20131,Mar 1971
JPN,1971-04,75.20131,Apr 1971
JPN,1971-05,75.40706,May 1971
JPN,1971-06,75.50993,Jun 1971
JPN,1971-07,75.40706,Jul 1971
JPN,1971-08,75.81856,Aug 1971
JPN,1971-09,75.81856,Sep 1971
JPN,1971-10,75.71568,Oct 1971
JPN,1971-11,75.71568,Nov 1971
JPN,1971-12,75.81856,Dec 1971
JPN,1972-01,75.50993,Jan 1972
JPN,1972-02,75.61281,Feb 1972
JPN,1972-03,75.81856,Mar 1972
JPN,1972-04,75.92142,Apr 1972
JPN,1972-05,75.92142,May 1972
JPN,1972-06,75.92142,Jun 1972
JPN,1972-07,76.0243,Jul 1972
JPN,1972-08,76.4358,Aug 1972
JPN,1972-09,76.53867,Sep 1972
JPN,1972-10,76.8473,Oct 1972
JPN,1972-11,77.15592,Nov 1972
JPN,1972-12,77.56742,Dec 1972
JPN,1973-01,78.08179,Jan 1973
JPN,1973-02,79.00767,Feb 1973
JPN,1973-03,80.96228,Mar 1973
JPN,1973-04,81.47665,Apr 1973
JPN,1973-05,81.88815,May 1973
JPN,1973-06,83.01978,Jun 1973
JPN,1973-07,83.53415,Jul 1973
JPN,1973-08,84.56289,Aug 1973
JPN,1973-09,85.69451,Sep 1973
JPN,1973-10,86.82613,Oct 1973
JPN,1973-11,88.36925,Nov 1973
JPN,1973-12,91.96986,Dec 1973
JPN,1974-01,96.49634,Jan 1974
JPN,1974-02,100.097,Feb 1974
JPN,1974-03,100.5084,Mar 1974
JPN,1974-04,101.1257,Apr 1974
JPN,1974-05,101.5372,May 1974
JPN,1974-06,102.1544,Jun 1974
JPN,1974-07,103.8004,Jul 1974
JPN,1974-08,104.1091,Aug 1974
JPN,1974-09,104.8292,Sep 1974
JPN,1974-10,105.8579,Oct 1974
JPN,1974-11,106.9895,Nov 1974
JPN,1974-12,107.5039,Dec 1974
JPN,1975-01,107.5039,Jan 1975
JPN,1975-02,107.5039,Feb 1975
JPN,1975-03,108.1212,Mar 1975
JPN,1975-04,108.224,Apr 1975
JPN,1975-05,108.224,May 1975
JPN,1975-06,108.224,Jun 1975
JPN,1975-07,108.6355,Jul 1975
JPN,1975-08,108.8413,Aug 1975
JPN,1975-09,109.3557,Sep 1975
JPN,1975-10,109.5614,Oct 1975
JPN,1975-11,109.5614,Nov 1975
JPN,1975-12,110.0758,Dec 1975
JPN,1976-01,111.1045,Jan 1976
JPN,1976-02,111.7218,Feb 1976
JPN,1976-03,111.9275,Mar 1976
JPN,1976-04,112.1333,Apr 1976
JPN,1976-05,112.2362,May 1976
