location,time,ppi_dom_int,date
AUT,2000-01,82.82713,Jan 2000
AUT,2000-02,83.02248,Feb 2000
AUT,2000-03,83.21783,Mar 2000
AUT,2000-04,83.80387,Apr 2000
AUT,2000-05,83.99921,May 2000
AUT,2000-06,84.19456,Jun 2000
AUT,2000-07,84.38992,Jul 2000
AUT,2000-08,84.58526,Aug 2000
AUT,2000-09,84.87828,Sep 2000
AUT,2000-10,85.07362,Oct 2000
AUT,2000-11,85.1713,Nov 2000
AUT,2000-12,85.1713,Dec 2000
AUT,2001-01,85.65967,Jan 2001
AUT,2001-02,85.46432,Feb 2001
AUT,2001-03,85.46432,Mar 2001
AUT,2001-04,85.07362,Apr 2001
AUT,2001-05,84.78061,May 2001
AUT,2001-06,84.58526,Jun 2001
AUT,2001-07,84.68293,Jul 2001
AUT,2001-08,84.48759,Aug 2001
AUT,2001-09,84.09689,Sep 2001
AUT,2001-10,83.99921,Oct 2001
AUT,2001-11,83.90154,Nov 2001
AUT,2001-12,83.60852,Dec 2001
AUT,2002-01,83.31551,Jan 2002
AUT,2002-02,82.53412,Feb 2002
AUT,2002-03,83.02248,Mar 2002
AUT,2002-04,83.02248,Apr 2002
AUT,2002-05,83.02248,May 2002
AUT,2002-06,83.12016,Jun 2002
AUT,2002-07,83.12016,Jul 2002
AUT,2002-08,83.02248,Aug 2002
AUT,2002-09,83.12016,Sep 2002
AUT,2002-10,83.02248,Oct 2002
AUT,2002-11,83.02248,Nov 2002
AUT,2002-12,83.02248,Dec 2002
AUT,2003-01,83.31551,Jan 2003
AUT,2003-02,83.51085,Feb 2003
AUT,2003-03,83.41318,Mar 2003
AUT,2003-04,83.31551,Apr 2003
AUT,2003-05,83.31551,May 2003
AUT,2003-06,83.31551,Jun 2003
AUT,2003-07,83.12016,Jul 2003
AUT,2003-08,83.12016,Aug 2003
AUT,2003-09,83.31551,Sep 2003
AUT,2003-10,83.31551,Oct 2003
AUT,2003-11,83.41318,Nov 2003
AUT,2003-12,83.31551,Dec 2003
AUT,2004-01,84.19456,Jan 2004
AUT,2004-02,84.19456,Feb 2004
AUT,2004-03,84.48759,Mar 2004
AUT,2004-04,84.19456,Apr 2004
AUT,2004-05,84.38992,May 2004
AUT,2004-06,84.68293,Jun 2004
AUT,2004-07,84.87828,Jul 2004
AUT,2004-08,85.07362,Aug 2004
AUT,2004-09,85.36665,Sep 2004
AUT,2004-10,85.562,Oct 2004
AUT,2004-11,85.562,Nov 2004
AUT,2004-12,85.562,Dec 2004
