location,time,ppi_dom_int_stage,date
JPN,1970-01,48.57629,Jan 1970
JPN,1970-02,48.87069,Feb 1970
JPN,1970-03,49.06696,Mar 1970
JPN,1970-04,49.26323,Apr 1970
JPN,1970-05,49.26323,May 1970
JPN,1970-06,49.06696,Jun 1970
JPN,1970-07,49.06696,Jul 1970
JPN,1970-08,49.06696,Aug 1970
JPN,1970-09,48.77256,Sep 1970
JPN,1970-10,48.57629,Oct 1970
JPN,1970-11,48.38002,Nov 1970
JPN,1970-12,47.88935,Dec 1970
JPN,1971-01,47.88935,Jan 1971
JPN,1971-02,47.69308,Feb 1971
JPN,1971-03,47.59495,Mar 1971
JPN,1971-04,47.69308,Apr 1971
JPN,1971-05,47.69308,May 1971
JPN,1971-06,47.59495,Jun 1971
JPN,1971-07,47.59495,Jul 1971
JPN,1971-08,47.69308,Aug 1971
JPN,1971-09,47.59495,Sep 1971
JPN,1971-10,47.30055,Oct 1971
JPN,1971-11,47.20242,Nov 1971
JPN,1971-12,47.30055,Dec 1971
JPN,1972-01,47.30055,Jan 1972
JPN,1972-02,47.30055,Feb 1972
JPN,1972-03,47.49682,Mar 1972
JPN,1972-04,47.59495,Apr 1972
JPN,1972-05,47.59495,May 1972
JPN,1972-06,47.69308,Jun 1972
JPN,1972-07,47.69308,Jul 1972
JPN,1972-08,48.08562,Aug 1972
JPN,1972-09,48.67442,Sep 1972
JPN,1972-10,49.06696,Oct 1972
JPN,1972-11,50.44083,Nov 1972
JPN,1972-12,51.42217,Dec 1972
JPN,1973-01,52.30538,Jan 1973
JPN,1973-02,53.58112,Feb 1973
JPN,1973-03,54.66059,Mar 1973
JPN,1973-04,54.95499,Apr 1973
JPN,1973-05,55.34753,May 1973
JPN,1973-06,55.93633,Jun 1973
JPN,1973-07,57.40834,Jul 1973
JPN,1973-08,58.88035,Aug 1973
JPN,1973-09,60.25423,Sep 1973
JPN,1973-10,61.6281,Oct 1973
JPN,1973-11,63.98331,Nov 1973
JPN,1973-12,70.46015,Dec 1973
JPN,1974-01,73.99297,Jan 1974
JPN,1974-02,74.58178,Feb 1974
JPN,1974-03,74.87618,Mar 1974
JPN,1974-04,75.75938,Apr 1974
JPN,1974-05,75.66125,May 1974
JPN,1974-06,76.74072,Jun 1974
JPN,1974-07,77.13326,Jul 1974
JPN,1974-08,77.23139,Aug 1974
JPN,1974-09,76.93699,Sep 1974
JPN,1974-10,77.52579,Oct 1974
JPN,1974-11,77.8202,Nov 1974
JPN,1974-12,77.72206,Dec 1974
JPN,1975-01,77.8202,Jan 1975
JPN,1975-02,77.23139,Feb 1975
JPN,1975-03,76.93699,Mar 1975
JPN,1975-04,76.93699,Apr 1975
JPN,1975-05,76.93699,May 1975
JPN,1975-06,76.74072,Jun 1975
JPN,1975-07,76.74072,Jul 1975
JPN,1975-08,77.13326,Aug 1975
JPN,1975-09,77.52579,Sep 1975
JPN,1975-10,78.01646,Oct 1975
JPN,1975-11,78.01646,Nov 1975
JPN,1975-12,78.1146,Dec 1975
JPN,1976-01,78.80154,Jan 1976
JPN,1976-02,79.48847,Feb 1976
JPN,1976-03,80.17542,Mar 1976
JPN,1976-04,80.86235,Apr 1976
JPN,1976-05,81.45115,May 1976
JPN,1976-06,81.94183,Jun 1976
JPN,1976-07,83.11943,Jul 1976
JPN,1976-08,84.19891,Aug 1976
JPN,1976-09,84.98397,Sep 1976
JPN,1976-10,85.27837,Oct 1976
JPN,1976-11,85.27837,Nov 1976
JPN,1976-12,85.37651,Dec 1976
JPN,1977-01,85.37651,Jan 1977
JPN,1977-02,85.57278,Feb 1977
JPN,1977-03,85.57278,Mar 1977
JPN,1977-04,85.76904,Apr 1977
JPN,1977-05,85.76904,May 1977
JPN,1977-06,85.57278,Jun 1977
JPN,1977-07,85.27837,Jul 1977
JPN,1977-08,85.37651,Aug 1977
JPN,1977-09,85.27837,Sep 1977
JPN,1977-10,85.37651,Oct 1977
JPN,1977-11,84.98397,Nov 1977
JPN,1977-12,84.7877,Dec 1977
JPN,1978-01,84.68958,Jan 1978
JPN,1978-02,84.68958,Feb 1978
JPN,1978-03,84.7877,Mar 1978
JPN,1978-04,84.7877,Apr 1978
JPN,1978-05,84.68958,May 1978
JPN,1978-06,84.29704,Jun 1978
JPN,1978-07,83.80637,Jul 1978
JPN,1978-08,83.3157,Aug 1978
JPN,1978-09,82.82503,Sep 1978
JPN,1978-10,82.23622,Oct 1978
JPN,1978-11,82.13809,Nov 1978
JPN,1978-12,82.4325,Dec 1978
JPN,1979-01,82.82503,Jan 1979
JPN,1979-02,83.6101,Feb 1979
JPN,1979-03,84.39517,Mar 1979
JPN,1979-04,86.16158,Apr 1979
JPN,1979-05,87.43732,May 1979
JPN,1979-06,88.71307,Jun 1979
JPN,1979-07,90.97015,Jul 1979
JPN,1979-08,92.93282,Aug 1979
JPN,1979-09,94.40483,Sep 1979
JPN,1979-10,95.48431,Oct 1979
JPN,1979-11,96.0731,Nov 1979
JPN,1979-12,97.64325,Dec 1979
JPN,1980-01,100.8817,Jan 1980
JPN,1980-02,103.4332,Feb 1980
JPN,1980-03,105.8865,Mar 1980
JPN,1980-04,110.8913,Apr 1980
JPN,1980-05,112.1671,May 1980
JPN,1980-06,112.6577,Jun 1980
JPN,1980-07,113.1484,Jul 1980
JPN,1980-08,113.8353,Aug 1980
JPN,1980-09,113.7372,Sep 1980
JPN,1980-10,112.6577,Oct 1980
JPN,1980-11,112.4615,Nov 1980
JPN,1980-12,111.8727,Dec 1980
JPN,1981-01,111.4801,Jan 1981
JPN,1981-02,110.4007,Feb 1981
JPN,1981-03,110.0081,Mar 1981
JPN,1981-04,110.2044,Apr 1981
JPN,1981-05,110.5969,May 1981
JPN,1981-06,110.7932,Jun 1981
JPN,1981-07,111.0876,Jul 1981
JPN,1981-08,111.6764,Aug 1981
JPN,1981-09,111.9708,Sep 1981
JPN,1981-10,111.5783,Oct 1981
JPN,1981-11,111.6764,Nov 1981
JPN,1981-12,111.7745,Dec 1981
JPN,1982-01,111.5783,Jan 1982
JPN,1982-02,111.4801,Feb 1982
JPN,1982-03,111.382,Mar 1982
JPN,1982-04,111.382,Apr 1982
JPN,1982-05,111.0876,May 1982
JPN,1982-06,110.6951,Jun 1982
JPN,1982-07,111.1857,Jul 1982
JPN,1982-08,111.7745,Aug 1982
JPN,1982-09,111.9708,Sep 1982
JPN,1982-10,111.6764,Oct 1982
JPN,1982-11,111.7745,Nov 1982
JPN,1982-12,111.6764,Dec 1982
JPN,1983-01,111.382,Jan 1983
JPN,1983-02,111.382,Feb 1983
JPN,1983-03,110.8913,Mar 1983
JPN,1983-04,110.0081,Apr 1983
JPN,1983-05,110.0081,May 1983
JPN,1983-06,109.91,Jun 1983
JPN,1983-07,110.3025,Jul 1983
JPN,1983-08,109.5175,Aug 1983
JPN,1983-09,109.7137,Sep 1983
JPN,1983-10,109.2231,Oct 1983
JPN,1983-11,109.3212,Nov 1983
JPN,1983-12,109.7137,Dec 1983
JPN,1984-01,109.7137,Jan 1984
JPN,1984-02,109.8119,Feb 1984
JPN,1984-03,109.91,Mar 1984
JPN,1984-04,109.8119,Apr 1984
JPN,1984-05,109.8119,May 1984
JPN,1984-06,109.7137,Jun 1984
JPN,1984-07,110.0081,Jul 1984
JPN,1984-08,109.91,Aug 1984
