location,time,ppi_dom_manufact_food,date
AUT,2000-01,80.38519,Jan 2000
AUT,2000-02,80.29322,Feb 2000
AUT,2000-03,80.0173,Mar 2000
AUT,2000-04,79.6494,Apr 2000
AUT,2000-05,80.20124,May 2000
AUT,2000-06,80.38519,Jun 2000
AUT,2000-07,79.46545,Jul 2000
AUT,2000-08,80.29322,Aug 2000
AUT,2000-09,79.92532,Sep 2000
AUT,2000-10,80.20124,Oct 2000
AUT,2000-11,79.83334,Nov 2000
AUT,2000-12,80.38519,Dec 2000
AUT,2001-01,81.12098,Jan 2001
AUT,2001-02,81.21296,Feb 2001
AUT,2001-03,81.02901,Mar 2001
AUT,2001-04,80.84506,Apr 2001
AUT,2001-05,81.02901,May 2001
AUT,2001-06,81.85677,Jun 2001
AUT,2001-07,81.7648,Jul 2001
AUT,2001-08,81.48888,Aug 2001
AUT,2001-09,81.48888,Sep 2001
AUT,2001-10,81.7648,Oct 2001
AUT,2001-11,81.94875,Nov 2001
AUT,2001-12,82.04072,Dec 2001
AUT,2002-01,82.40862,Jan 2002
AUT,2002-02,81.58085,Feb 2002
AUT,2002-03,81.3969,Mar 2002
AUT,2002-04,81.30493,Apr 2002
AUT,2002-05,81.85677,May 2002
AUT,2002-06,81.21296,Jun 2002
AUT,2002-07,80.93703,Jul 2002
AUT,2002-08,81.21296,Aug 2002
AUT,2002-09,81.21296,Sep 2002
AUT,2002-10,80.93703,Oct 2002
AUT,2002-11,80.93703,Nov 2002
AUT,2002-12,81.02901,Dec 2002
AUT,2003-01,80.93703,Jan 2003
AUT,2003-02,81.12098,Feb 2003
AUT,2003-03,80.38519,Mar 2003
AUT,2003-04,80.38519,Apr 2003
AUT,2003-05,79.83334,May 2003
AUT,2003-06,80.38519,Jun 2003
AUT,2003-07,80.38519,Jul 2003
AUT,2003-08,80.84506,Aug 2003
AUT,2003-09,81.21296,Sep 2003
AUT,2003-10,81.21296,Oct 2003
AUT,2003-11,80.93703,Nov 2003
AUT,2003-12,81.30493,Dec 2003
AUT,2004-01,81.3969,Jan 2004
AUT,2004-02,81.48888,Feb 2004
AUT,2004-03,81.21296,Mar 2004
AUT,2004-04,81.21296,Apr 2004
AUT,2004-05,81.21296,May 2004
AUT,2004-06,81.58085,Jun 2004
AUT,2004-07,81.7648,Jul 2004
AUT,2004-08,81.67283,Aug 2004
AUT,2004-09,81.94875,Sep 2004
AUT,2004-10,81.85677,Oct 2004
AUT,2004-11,81.94875,Nov 2004
AUT,2004-12,82.1327,Dec 2004
AUT,2005-01,82.68454,Jan 2005
AUT,2005-02,82.50059,Feb 2005
AUT,2005-03,82.59257,Mar 2005
AUT,2005-04,82.22467,Apr 2005
AUT,2005-05,82.1327,May 2005
AUT,2005-06,82.59257,Jun 2005
AUT,2005-07,82.31664,Jul 2005
AUT,2005-08,82.68454,Aug 2005
AUT,2005-09,82.59257,Sep 2005
AUT,2005-10,82.50059,Oct 2005
AUT,2005-11,82.50059,Nov 2005
AUT,2005-12,82.68454,Dec 2005
AUT,2006-01,82.86848,Jan 2006
AUT,2006-02,82.96046,Feb 2006
AUT,2006-03,83.32835,Mar 2006
AUT,2006-04,83.23638,Apr 2006
AUT,2006-05,83.32835,May 2006
AUT,2006-06,83.51231,Jun 2006
AUT,2006-07,83.69625,Jul 2006
