location,time,ppi_dom_manufact,date
AUT,2000-01,80.33244,Jan 2000
AUT,2000-02,80.71407,Feb 2000
AUT,2000-03,81.00029,Mar 2000
AUT,2000-04,80.80947,Apr 2000
AUT,2000-05,81.28651,May 2000
AUT,2000-06,81.66814,Jun 2000
AUT,2000-07,81.66814,Jul 2000
AUT,2000-08,81.95435,Aug 2000
AUT,2000-09,83.38545,Sep 2000
AUT,2000-10,83.29005,Oct 2000
AUT,2000-11,83.19464,Nov 2000
AUT,2000-12,82.71761,Dec 2000
AUT,2001-01,82.24058,Jan 2001
AUT,2001-02,82.24058,Feb 2001
AUT,2001-03,82.14516,Mar 2001
AUT,2001-04,82.24058,Apr 2001
AUT,2001-05,82.24058,May 2001
AUT,2001-06,82.43139,Jun 2001
AUT,2001-07,82.24058,Jul 2001
AUT,2001-08,81.85895,Aug 2001
AUT,2001-09,81.95435,Sep 2001
AUT,2001-10,81.38191,Oct 2001
AUT,2001-11,81.00029,Nov 2001
AUT,2001-12,80.52325,Dec 2001
AUT,2002-01,80.52325,Jan 2002
AUT,2002-02,80.04622,Feb 2002
AUT,2002-03,80.61866,Mar 2002
AUT,2002-04,80.90488,Apr 2002
AUT,2002-05,81.0957,May 2002
AUT,2002-06,80.61866,Jun 2002
AUT,2002-07,80.61866,Jul 2002
AUT,2002-08,80.71407,Aug 2002
AUT,2002-09,81.0957,Sep 2002
AUT,2002-10,81.0957,Oct 2002
AUT,2002-11,80.61866,Nov 2002
AUT,2002-12,80.71407,Dec 2002
AUT,2003-01,81.38191,Jan 2003
AUT,2003-02,81.85895,Feb 2003
AUT,2003-03,81.95435,Mar 2003
AUT,2003-04,80.80947,Apr 2003
AUT,2003-05,80.71407,May 2003
AUT,2003-06,80.80947,Jun 2003
AUT,2003-07,80.52325,Jul 2003
AUT,2003-08,80.52325,Aug 2003
AUT,2003-09,80.61866,Sep 2003
AUT,2003-10,80.61866,Oct 2003
AUT,2003-11,80.80947,Nov 2003
AUT,2003-12,80.80947,Dec 2003
AUT,2004-01,81.47732,Jan 2004
AUT,2004-02,81.38191,Feb 2004
AUT,2004-03,81.66814,Mar 2004
AUT,2004-04,81.76354,Apr 2004
AUT,2004-05,82.43139,May 2004
AUT,2004-06,82.43139,Jun 2004
AUT,2004-07,82.90842,Jul 2004
AUT,2004-08,83.38545,Aug 2004
AUT,2004-09,83.67168,Sep 2004
AUT,2004-10,84.53033,Oct 2004
AUT,2004-11,83.86249,Nov 2004
AUT,2004-12,83.48086,Dec 2004
AUT,2005-01,85.48441,Jan 2005
AUT,2005-02,85.77062,Feb 2005
AUT,2005-03,85.67522,Mar 2005
AUT,2005-04,85.86603,Apr 2005
AUT,2005-05,86.15225,May 2005
AUT,2005-06,85.961429999999993,Jun 2005
AUT,2005-07,85.86603,Jul 2005
AUT,2005-08,85.67522,Aug 2005
AUT,2005-09,85.77062,Sep 2005
AUT,2005-10,85.77062,Oct 2005
AUT,2005-11,85.961429999999993,Nov 2005
AUT,2005-12,85.57981,Dec 2005
AUT,2006-01,86.15225,Jan 2006
AUT,2006-02,86.24766,Feb 2006
AUT,2006-03,86.72469,Mar 2006
AUT,2006-04,87.20172,Apr 2006
AUT,2006-05,87.58335,May 2006
AUT,2006-06,87.39253,Jun 2006
AUT,2006-07,87.86957,Jul 2006
AUT,2006-08,87.86957,Aug 2006
AUT,2006-09,87.58335,Sep 2006
AUT,2006-10,87.58335,Oct 2006
AUT,2006-11,87.58335,Nov 2006
AUT,2006-12,87.77416,Dec 2006
AUT,2007-01,88.3466,Jan 2007
AUT,2007-02,88.91904,Feb 2007
AUT,2007-03,89.6823,Mar 2007
AUT,2007-04,89.7777,Apr 2007
AUT,2007-05,89.96851,May 2007
AUT,2007-06,90.25474,Jun 2007
AUT,2007-07,90.63636,Jul 2007
AUT,2007-08,90.73177,Aug 2007
AUT,2007-09,90.82718,Sep 2007
AUT,2007-10,91.2088,Oct 2007
AUT,2007-11,91.59043,Nov 2007
AUT,2007-12,91.68584,Dec 2007
AUT,2008-01,92.06747,Jan 2008
AUT,2008-02,91.87665,Feb 2008
AUT,2008-03,92.83072,Mar 2008
AUT,2008-04,93.30775,Apr 2008
AUT,2008-05,93.78478,May 2008
AUT,2008-06,94.45263,Jun 2008
AUT,2008-07,95.12048,Jul 2008
AUT,2008-08,94.54803,Aug 2008
AUT,2008-09,94.64345,Sep 2008
AUT,2008-10,93.9756,Oct 2008
AUT,2008-11,92.54449,Nov 2008
AUT,2008-12,91.49503,Dec 2008
AUT,2009-01,91.1134,Jan 2009
AUT,2009-02,91.30421,Feb 2009
AUT,2009-03,90.73177,Mar 2009
AUT,2009-04,90.35014,Apr 2009
AUT,2009-05,90.63636,May 2009
AUT,2009-06,91.1134,Jun 2009
AUT,2009-07,90.73177,Jul 2009
AUT,2009-08,91.78124,Aug 2009
AUT,2009-09,92.16287,Sep 2009
AUT,2009-10,92.16287,Oct 2009
AUT,2009-11,92.25828,Nov 2009
AUT,2009-12,92.06747,Dec 2009
AUT,2010-01,92.44909,Jan 2010
AUT,2010-02,92.92612,Feb 2010
AUT,2010-03,93.40316,Mar 2010
AUT,2010-04,94.73885,Apr 2010
AUT,2010-05,95.50211,May 2010
AUT,2010-06,95.88374,Jun 2010
AUT,2010-07,96.07455,Jul 2010
AUT,2010-08,96.07455,Aug 2010
AUT,2010-09,96.55158,Sep 2010
AUT,2010-10,96.45617,Oct 2010
AUT,2010-11,96.8378,Nov 2010
AUT,2010-12,97.41024,Dec 2010
AUT,2011-01,98.65053,Jan 2011
AUT,2011-02,99.12756,Feb 2011
AUT,2011-03,99.98622,Mar 2011
AUT,2011-04,100.3678,Apr 2011
AUT,2011-05,100.3678,May 2011
AUT,2011-06,100.4633,Jun 2011
AUT,2011-07,100.4633,Jul 2011
AUT,2011-08,100.3678,Aug 2011
AUT,2011-09,100.4633,Sep 2011
AUT,2011-10,100.5587,Oct 2011
AUT,2011-11,100.5587,Nov 2011
AUT,2011-12,100.6541,Dec 2011
AUT,2012-01,100.8449,Jan 2012
AUT,2012-02,101.0357,Feb 2012
AUT,2012-03,101.6081,Mar 2012
AUT,2012-04,101.9898,Apr 2012
AUT,2012-05,101.8944,May 2012
AUT,2012-06,101.5127,Jun 2012
AUT,2012-07,101.3219,Jul 2012
AUT,2012-08,101.8944,Aug 2012
AUT,2012-09,102.276,Sep 2012
AUT,2012-10,102.3714,Oct 2012
AUT,2012-11,101.9898,Nov 2012
AUT,2012-12,101.7035,Dec 2012
AUT,2013-01,101.799,Jan 2013
AUT,2013-02,101.9898,Feb 2013
AUT,2013-03,101.9898,Mar 2013
AUT,2013-04,101.9898,Apr 2013
AUT,2013-05,101.8944,May 2013
AUT,2013-06,101.799,Jun 2013
AUT,2013-07,101.7035,Jul 2013
AUT,2013-08,101.799,Aug 2013
AUT,2013-09,101.8944,Sep 2013
AUT,2013-10,101.7035,Oct 2013
AUT,2013-11,101.5127,Nov 2013
AUT,2013-12,101.6081,Dec 2013
AUT,2014-01,101.7035,Jan 2014
AUT,2014-02,101.6081,Feb 2014
AUT,2014-03,101.4173,Mar 2014
AUT,2014-04,101.6081,Apr 2014
AUT,2014-05,101.5127,May 2014
AUT,2014-06,101.7035,Jun 2014
AUT,2014-07,101.6081,Jul 2014
AUT,2014-08,101.5127,Aug 2014
AUT,2014-09,101.4173,Sep 2014
AUT,2014-10,101.2265,Oct 2014
AUT,2014-11,100.9403,Nov 2014
AUT,2014-12,100.3678,Dec 2014
AUT,2015-01,99.7,Jan 2015
AUT,2015-02,100.2,Feb 2015
AUT,2015-03,100.5,Mar 2015
AUT,2015-04,100.6,Apr 2015
AUT,2015-05,100.8,May 2015
AUT,2015-06,100.8,Jun 2015
AUT,2015-07,100.3,Jul 2015
AUT,2015-08,100,Aug 2015
AUT,2015-09,99.8,Sep 2015
AUT,2015-10,99.3,Oct 2015
AUT,2015-11,99.2,Nov 2015
AUT,2015-12,98.8,Dec 2015
AUT,2016-01,98.2,Jan 2016
AUT,2016-02,97.5,Feb 2016
AUT,2016-03,97.8,Mar 2016
AUT,2016-04,98.2,Apr 2016
AUT,2016-05,98.5,May 2016
AUT,2016-06,98.9,Jun 2016
AUT,2016-07,98.8,Jul 2016
AUT,2016-08,98.9,Aug 2016
AUT,2016-09,99,Sep 2016
AUT,2016-10,99.4,Oct 2016
AUT,2016-11,99.5,Nov 2016
AUT,2016-12,100.1,Dec 2016
AUT,2017-01,100.9,Jan 2017
AUT,2017-02,101.2,Feb 2017
AUT,2017-03,101.4,Mar 2017
AUT,2017-04,101.9,Apr 2017
AUT,2017-05,101.5,May 2017
AUT,2017-06,101.6,Jun 2017
AUT,2017-07,101.1,Jul 2017
