location,time,ppi_tot_con,date
AUT,2000-01,89.62099,Jan 2000
AUT,2000-02,89.43092,Feb 2000
AUT,2000-03,89.43092,Mar 2000
AUT,2000-04,89.33588,Apr 2000
AUT,2000-05,89.71603,May 2000
AUT,2000-06,89.81107,Jun 2000
AUT,2000-07,89.33588,Jul 2000
AUT,2000-08,90.00114,Aug 2000
AUT,2000-09,89.81107,Sep 2000
AUT,2000-10,89.71603,Oct 2000
AUT,2000-11,89.52596,Nov 2000
AUT,2000-12,89.62099,Dec 2000
AUT,2001-01,90.38129,Jan 2001
AUT,2001-02,90.38129,Feb 2001
AUT,2001-03,90.09618,Mar 2001
AUT,2001-04,90.09618,Apr 2001
AUT,2001-05,90.28626,May 2001
AUT,2001-06,90.85649,Jun 2001
AUT,2001-07,90.85649,Jul 2001
AUT,2001-08,90.95153,Aug 2001
AUT,2001-09,90.95153,Sep 2001
AUT,2001-10,91.04656,Oct 2001
AUT,2001-11,91.04656,Nov 2001
AUT,2001-12,91.1416,Dec 2001
AUT,2002-01,91.23664,Jan 2002
AUT,2002-02,90.76145,Feb 2002
AUT,2002-03,90.85649,Mar 2002
AUT,2002-04,90.66641,Apr 2002
AUT,2002-05,91.04656,May 2002
AUT,2002-06,90.66641,Jun 2002
AUT,2002-07,90.47633,Jul 2002
AUT,2002-08,90.85649,Aug 2002
AUT,2002-09,90.95153,Sep 2002
AUT,2002-10,90.47633,Oct 2002
AUT,2002-11,90.19122,Nov 2002
AUT,2002-12,90.19122,Dec 2002
AUT,2003-01,90.19122,Jan 2003
AUT,2003-02,90.47633,Feb 2003
AUT,2003-03,89.90611,Mar 2003
AUT,2003-04,89.71603,Apr 2003
AUT,2003-05,89.62099,May 2003
AUT,2003-06,90.00114,Jun 2003
AUT,2003-07,89.90611,Jul 2003
AUT,2003-08,90.19122,Aug 2003
AUT,2003-09,90.38129,Sep 2003
AUT,2003-10,90.28626,Oct 2003
AUT,2003-11,89.90611,Nov 2003
AUT,2003-12,90.00114,Dec 2003
AUT,2004-01,89.71603,Jan 2004
AUT,2004-02,89.81107,Feb 2004
AUT,2004-03,89.81107,Mar 2004
AUT,2004-04,89.71603,Apr 2004
AUT,2004-05,89.81107,May 2004
AUT,2004-06,90.28626,Jun 2004
AUT,2004-07,90.57137,Jul 2004
AUT,2004-08,90.66641,Aug 2004
AUT,2004-09,90.66641,Sep 2004
AUT,2004-10,90.95153,Oct 2004
AUT,2004-11,91.23664,Nov 2004
AUT,2004-12,91.23664,Dec 2004
AUT,2005-01,91.42672,Jan 2005
AUT,2005-02,92.18702,Feb 2005
AUT,2005-03,91.61679,Mar 2005
AUT,2005-04,91.61679,Apr 2005
AUT,2005-05,90.95153,May 2005
AUT,2005-06,91.33168,Jun 2005
AUT,2005-07,90.76145,Jul 2005
AUT,2005-08,91.33168,Aug 2005
AUT,2005-09,90.76145,Sep 2005
AUT,2005-10,90.19122,Oct 2005
AUT,2005-11,91.42672,Nov 2005
AUT,2005-12,91.1416,Dec 2005
AUT,2006-01,90.95153,Jan 2006
AUT,2006-02,90.57137,Feb 2006
AUT,2006-03,91.33168,Mar 2006
AUT,2006-04,91.33168,Apr 2006
AUT,2006-05,91.52176,May 2006
AUT,2006-06,91.61679,Jun 2006
AUT,2006-07,91.61679,Jul 2006
AUT,2006-08,91.71183,Aug 2006
AUT,2006-09,91.80687,Sep 2006
AUT,2006-10,91.71183,Oct 2006
AUT,2006-11,91.61679,Nov 2006
AUT,2006-12,91.33168,Dec 2006
AUT,2007-01,91.33168,Jan 2007
AUT,2007-02,91.42672,Feb 2007
AUT,2007-03,91.61679,Mar 2007
AUT,2007-04,91.33168,Apr 2007
AUT,2007-05,91.33168,May 2007
AUT,2007-06,91.23664,Jun 2007
AUT,2007-07,91.61679,Jul 2007
AUT,2007-08,91.80687,Aug 2007
AUT,2007-09,92.28206,Sep 2007
AUT,2007-10,92.18702,Oct 2007
AUT,2007-11,92.66222,Nov 2007
AUT,2007-12,92.85229,Dec 2007
AUT,2008-01,93.32748,Jan 2008
AUT,2008-02,93.32748,Feb 2008
AUT,2008-03,93.61259,Mar 2008
AUT,2008-04,94.46794,Apr 2008
AUT,2008-05,95.03817,May 2008
AUT,2008-06,95.32328,Jun 2008
AUT,2008-07,95.51336,Jul 2008
AUT,2008-08,95.79847,Aug 2008
AUT,2008-09,95.70344,Sep 2008
AUT,2008-10,95.51336,Oct 2008
AUT,2008-11,95.32328,Nov 2008
AUT,2008-12,95.13321,Dec 2008
AUT,2009-01,95.13321,Jan 2009
AUT,2009-02,95.13321,Feb 2009
AUT,2009-03,94.94313,Mar 2009
AUT,2009-04,95.32328,Apr 2009
AUT,2009-05,95.03817,May 2009
AUT,2009-06,94.94313,Jun 2009
AUT,2009-07,94.84809,Jul 2009
AUT,2009-08,94.75305,Aug 2009
AUT,2009-09,94.75305,Sep 2009
AUT,2009-10,94.46794,Oct 2009
AUT,2009-11,94.56298,Nov 2009
AUT,2009-12,94.75305,Dec 2009
AUT,2010-01,94.46794,Jan 2010
AUT,2010-02,94.3729,Feb 2010
AUT,2010-03,94.75305,Mar 2010
AUT,2010-04,94.75305,Apr 2010
AUT,2010-05,94.75305,May 2010
AUT,2010-06,95.03817,Jun 2010
AUT,2010-07,95.32328,Jul 2010
AUT,2010-08,95.41832,Aug 2010
AUT,2010-09,95.32328,Sep 2010
AUT,2010-10,95.13321,Oct 2010
AUT,2010-11,95.51336,Nov 2010
AUT,2010-12,95.89351,Dec 2010
AUT,2011-01,95.98855,Jan 2011
AUT,2011-02,96.17863,Feb 2011
AUT,2011-03,96.27367,Mar 2011
AUT,2011-04,96.55878,Apr 2011
AUT,2011-05,96.74886,May 2011
AUT,2011-06,96.93893,Jun 2011
AUT,2011-07,97.12901,Jul 2011
AUT,2011-08,97.22404,Aug 2011
AUT,2011-09,97.31908,Sep 2011
AUT,2011-10,97.41412,Oct 2011
AUT,2011-11,97.69923,Nov 2011
AUT,2011-12,97.79427,Dec 2011
AUT,2012-01,98.17443,Jan 2012
AUT,2012-02,98.3645,Feb 2012
AUT,2012-03,98.55458,Mar 2012
AUT,2012-04,98.83969,Apr 2012
AUT,2012-05,98.74466,May 2012
AUT,2012-06,98.83969,Jun 2012
AUT,2012-07,98.64962,Jul 2012
AUT,2012-08,99.02977,Aug 2012
AUT,2012-09,99.31489,Sep 2012
AUT,2012-10,99.40993,Oct 2012
AUT,2012-11,99.50496,Nov 2012
AUT,2012-12,99.50496,Dec 2012
AUT,2013-01,99.6,Jan 2013
AUT,2013-02,99.6,Feb 2013
AUT,2013-03,99.88512,Mar 2013
AUT,2013-04,100.0752,Apr 2013
AUT,2013-05,100.0752,May 2013
AUT,2013-06,100.0752,Jun 2013
AUT,2013-07,100.1702,Jul 2013
AUT,2013-08,100.3603,Aug 2013
AUT,2013-09,100.5504,Sep 2013
AUT,2013-10,100.5504,Oct 2013
AUT,2013-11,100.2653,Nov 2013
AUT,2013-12,100.1702,Dec 2013
AUT,2014-01,100.1702,Jan 2014
AUT,2014-02,100.0752,Feb 2014
AUT,2014-03,100.0752,Mar 2014
AUT,2014-04,100.2653,Apr 2014
AUT,2014-05,100.1702,May 2014
AUT,2014-06,100.2653,Jun 2014
AUT,2014-07,100.2653,Jul 2014
AUT,2014-08,100.1702,Aug 2014
