location,time,ppi_tot_fin_stage,date
JPN,1960-01,62.8903,Jan 1960
JPN,1960-02,62.8903,Feb 1960
JPN,1960-03,62.79142,Mar 1960
JPN,1960-04,62.59365,Apr 1960
JPN,1960-05,62.59365,May 1960
JPN,1960-06,62.59365,Jun 1960
JPN,1960-07,62.59365,Jul 1960
JPN,1960-08,62.8903,Aug 1960
JPN,1960-09,62.8903,Sep 1960
JPN,1960-10,62.8903,Oct 1960
JPN,1960-11,62.79142,Nov 1960
JPN,1960-12,62.8903,Dec 1960
JPN,1961-01,62.79142,Jan 1961
JPN,1961-02,62.79142,Feb 1961
JPN,1961-03,62.79142,Mar 1961
JPN,1961-04,62.8903,Apr 1961
JPN,1961-05,62.8903,May 1961
JPN,1961-06,63.18695,Jun 1961
JPN,1961-07,63.18695,Jul 1961
JPN,1961-08,63.38472,Aug 1961
JPN,1961-09,63.4836,Sep 1961
JPN,1961-10,63.68137,Oct 1961
JPN,1961-11,63.68137,Nov 1961
JPN,1961-12,63.68137,Dec 1961
JPN,1962-01,63.58249,Jan 1962
JPN,1962-02,63.58249,Feb 1962
JPN,1962-03,63.38472,Mar 1962
JPN,1962-04,62.79142,Apr 1962
JPN,1962-05,62.79142,May 1962
JPN,1962-06,62.59365,Jun 1962
JPN,1962-07,62.8903,Jul 1962
JPN,1962-08,63.18695,Aug 1962
JPN,1962-09,63.18695,Sep 1962
JPN,1962-10,63.28584,Oct 1962
JPN,1962-11,63.38472,Nov 1962
JPN,1962-12,64.27468,Dec 1962
JPN,1963-01,64.27468,Jan 1963
JPN,1963-02,64.47244,Feb 1963
JPN,1963-03,64.27468,Mar 1963
JPN,1963-04,64.47244,Apr 1963
JPN,1963-05,64.47244,May 1963
JPN,1963-06,64.67021,Jun 1963
JPN,1963-07,64.67021,Jul 1963
JPN,1963-08,65.16463,Aug 1963
JPN,1963-09,65.16463,Sep 1963
JPN,1963-10,65.26352,Oct 1963
JPN,1963-11,65.16463,Nov 1963
JPN,1963-12,65.16463,Dec 1963
JPN,1964-01,65.16463,Jan 1964
JPN,1964-02,64.7691,Feb 1964
JPN,1964-03,64.57133,Mar 1964
JPN,1964-04,64.67021,Apr 1964
JPN,1964-05,64.47244,May 1964
JPN,1964-06,64.27468,Jun 1964
JPN,1964-07,64.47244,Jul 1964
JPN,1964-08,64.47244,Aug 1964
JPN,1964-09,64.57133,Sep 1964
JPN,1964-10,64.57133,Oct 1964
JPN,1964-11,64.67021,Nov 1964
JPN,1964-12,64.67021,Dec 1964
JPN,1965-01,65.85683,Jan 1965
JPN,1965-02,65.95571,Feb 1965
JPN,1965-03,66.0546,Mar 1965
JPN,1965-04,65.95571,Apr 1965
JPN,1965-05,65.95571,May 1965
JPN,1965-06,65.95571,Jun 1965
JPN,1965-07,66.0546,Jul 1965
JPN,1965-08,66.25236,Aug 1965
JPN,1965-09,66.45013,Sep 1965
JPN,1965-10,66.45013,Oct 1965
JPN,1965-11,66.45013,Nov 1965
JPN,1965-12,66.74678,Dec 1965
JPN,1966-01,67.14232,Jan 1966
JPN,1966-02,67.2412,Feb 1966
JPN,1966-03,67.04343,Mar 1966
JPN,1966-04,66.84566,Apr 1966
JPN,1966-05,66.6479,May 1966
JPN,1966-06,66.84566,Jun 1966
JPN,1966-07,66.74678,Jul 1966
JPN,1966-08,67.14232,Aug 1966
JPN,1966-09,67.2412,Sep 1966
JPN,1966-10,67.34009,Oct 1966
JPN,1966-11,67.34009,Nov 1966
JPN,1966-12,67.53786,Dec 1966
JPN,1967-01,67.34009,Jan 1967
JPN,1967-02,67.53786,Feb 1967
JPN,1967-03,67.8345,Mar 1967
JPN,1967-04,67.53786,Apr 1967
JPN,1967-05,67.63674,May 1967
JPN,1967-06,67.53786,Jun 1967
JPN,1967-07,67.8345,Jul 1967
JPN,1967-08,68.13116,Aug 1967
JPN,1967-09,68.5267,Sep 1967
JPN,1967-10,69.21889,Oct 1967
JPN,1967-11,69.21889,Nov 1967
JPN,1967-12,69.41665,Dec 1967
JPN,1968-01,69.31777,Jan 1968
JPN,1968-02,69.41665,Feb 1968
JPN,1968-03,69.41665,Mar 1968
JPN,1968-04,69.21889,Apr 1968
JPN,1968-05,69.91107,May 1968
JPN,1968-06,69.91107,Jun 1968
JPN,1968-07,70.00996,Jul 1968
JPN,1968-08,70.00996,Aug 1968
JPN,1968-09,70.50438,Sep 1968
JPN,1968-10,70.80103,Oct 1968
JPN,1968-11,71.09768,Nov 1968
JPN,1968-12,70.89992,Dec 1968
JPN,1969-01,70.80103,Jan 1969
JPN,1969-02,70.80103,Feb 1969
JPN,1969-03,71.09768,Mar 1969
JPN,1969-04,71.09768,Apr 1969
JPN,1969-05,71.09768,May 1969
JPN,1969-06,71.49322,Jun 1969
JPN,1969-07,71.5921,Jul 1969
JPN,1969-08,71.5921,Aug 1969
JPN,1969-09,71.98764,Sep 1969
JPN,1969-10,72.08652,Oct 1969
JPN,1969-11,72.08652,Nov 1969
