location,time,ppi_tot_int,date
AUT,2000-01,84.48087,Jan 2000
AUT,2000-02,84.67733,Feb 2000
AUT,2000-03,84.87379,Mar 2000
AUT,2000-04,85.56143,Apr 2000
AUT,2000-05,85.85613,May 2000
AUT,2000-06,86.0526,Jun 2000
AUT,2000-07,86.24907,Jul 2000
AUT,2000-08,86.54377,Aug 2000
AUT,2000-09,86.9367,Sep 2000
AUT,2000-10,87.13317,Oct 2000
AUT,2000-11,87.13317,Nov 2000
AUT,2000-12,87.13317,Dec 2000
AUT,2001-01,87.32964,Jan 2001
AUT,2001-02,87.13317,Feb 2001
AUT,2001-03,87.13317,Mar 2001
AUT,2001-04,87.03493,Apr 2001
AUT,2001-05,86.74023,May 2001
AUT,2001-06,86.44553,Jun 2001
AUT,2001-07,86.44553,Jul 2001
AUT,2001-08,86.24907,Aug 2001
AUT,2001-09,85.95437,Sep 2001
AUT,2001-10,85.7579,Oct 2001
AUT,2001-11,85.65967,Nov 2001
AUT,2001-12,85.4632,Dec 2001
AUT,2002-01,85.36497,Jan 2002
AUT,2002-02,84.67733,Feb 2002
AUT,2002-03,85.26673,Mar 2002
AUT,2002-04,85.1685,Apr 2002
AUT,2002-05,85.07027,May 2002
AUT,2002-06,85.26673,Jun 2002
AUT,2002-07,85.07027,Jul 2002
AUT,2002-08,85.1685,Aug 2002
AUT,2002-09,85.1685,Sep 2002
AUT,2002-10,85.07027,Oct 2002
AUT,2002-11,84.77557,Nov 2002
AUT,2002-12,84.57909,Dec 2002
AUT,2003-01,84.87379,Jan 2003
AUT,2003-02,85.1685,Feb 2003
AUT,2003-03,85.07027,Mar 2003
AUT,2003-04,84.87379,Apr 2003
AUT,2003-05,84.87379,May 2003
AUT,2003-06,84.87379,Jun 2003
AUT,2003-07,84.48087,Jul 2003
AUT,2003-08,84.38263,Aug 2003
AUT,2003-09,84.67733,Sep 2003
AUT,2003-10,84.57909,Oct 2003
AUT,2003-11,84.87379,Nov 2003
AUT,2003-12,84.57909,Dec 2003
AUT,2004-01,85.26673,Jan 2004
AUT,2004-02,85.56143,Feb 2004
AUT,2004-03,85.65967,Mar 2004
AUT,2004-04,85.65967,Apr 2004
AUT,2004-05,85.95437,May 2004
AUT,2004-06,86.15083,Jun 2004
AUT,2004-07,86.54377,Jul 2004
AUT,2004-08,86.9367,Aug 2004
AUT,2004-09,87.13317,Sep 2004
AUT,2004-10,87.62434,Oct 2004
AUT,2004-11,87.82081,Nov 2004
AUT,2004-12,87.82081,Dec 2004
AUT,2005-01,88.90137,Jan 2005
AUT,2005-02,89.19608,Feb 2005
AUT,2005-03,89.09784,Mar 2005
AUT,2005-04,89.29431,Apr 2005
AUT,2005-05,89.49078,May 2005
AUT,2005-06,89.49078,Jun 2005
AUT,2005-07,88.90137,Jul 2005
AUT,2005-08,88.70491,Aug 2005
AUT,2005-09,88.80314,Sep 2005
AUT,2005-10,89.19608,Oct 2005
AUT,2005-11,89.39254,Nov 2005
AUT,2005-12,89.09784,Dec 2005
AUT,2006-01,89.49078,Jan 2006
AUT,2006-02,90.17841,Feb 2006
AUT,2006-03,90.37488,Mar 2006
AUT,2006-04,90.57134,Apr 2006
AUT,2006-05,91.35722,May 2006
AUT,2006-06,91.45544,Jun 2006
AUT,2006-07,91.65192,Jul 2006
AUT,2006-08,91.94662,Aug 2006
AUT,2006-09,92.33955,Sep 2006
AUT,2006-10,93.02718,Oct 2006
AUT,2006-11,92.83072,Nov 2006
AUT,2006-12,93.12542,Dec 2006
AUT,2007-01,94.00952,Jan 2007
AUT,2007-02,94.00952,Feb 2007
AUT,2007-03,94.40245,Mar 2007
AUT,2007-04,94.30422,Apr 2007
AUT,2007-05,94.69715,May 2007
AUT,2007-06,94.79539,Jun 2007
AUT,2007-07,94.99185,Jul 2007
AUT,2007-08,94.89362,Aug 2007
AUT,2007-09,94.89362,Sep 2007
AUT,2007-10,95.38479,Oct 2007
AUT,2007-11,95.09009,Nov 2007
AUT,2007-12,94.89362,Dec 2007
AUT,2008-01,95.38479,Jan 2008
AUT,2008-02,96.07243,Feb 2008
AUT,2008-03,96.66183,Mar 2008
AUT,2008-04,96.56359,Apr 2008
AUT,2008-05,96.76006,May 2008
AUT,2008-06,97.44769,Jun 2008
AUT,2008-07,98.33179,Jul 2008
AUT,2008-08,99.01943,Aug 2008
AUT,2008-09,99.31413,Sep 2008
AUT,2008-10,99.60883,Oct 2008
AUT,2008-11,98.72473,Nov 2008
AUT,2008-12,97.15299,Dec 2008
AUT,2009-01,96.36713,Jan 2009
AUT,2009-02,95.77773,Feb 2009
AUT,2009-03,95.28655,Mar 2009
AUT,2009-04,94.00952,Apr 2009
AUT,2009-05,93.81305,May 2009
AUT,2009-06,93.42012,Jun 2009
AUT,2009-07,93.22365,Jul 2009
AUT,2009-08,93.81305,Aug 2009
AUT,2009-09,93.91129,Sep 2009
AUT,2009-10,93.91129,Oct 2009
AUT,2009-11,93.81305,Nov 2009
AUT,2009-12,93.51835,Dec 2009
AUT,2010-01,93.91129,Jan 2010
AUT,2010-02,94.30422,Feb 2010
AUT,2010-03,94.79539,Mar 2010
AUT,2010-04,96.66183,Apr 2010
AUT,2010-05,97.84063,May 2010
AUT,2010-06,98.82296,Jun 2010
AUT,2010-07,99.41237,Jul 2010
AUT,2010-08,100.1982,Aug 2010
AUT,2010-09,100.4929,Sep 2010
AUT,2010-10,100.2965,Oct 2010
AUT,2010-11,100.6894,Nov 2010
AUT,2010-12,100.9841,Dec 2010
AUT,2011-01,101.5735,Jan 2011
AUT,2011-02,101.9664,Feb 2011
AUT,2011-03,102.5558,Mar 2011
AUT,2011-04,103.3417,Apr 2011
AUT,2011-05,103.5382,May 2011
AUT,2011-06,103.5382,Jun 2011
AUT,2011-07,103.6364,Jul 2011
AUT,2011-08,103.5382,Aug 2011
AUT,2011-09,103.4399,Sep 2011
AUT,2011-10,103.1452,Oct 2011
AUT,2011-11,102.6541,Nov 2011
AUT,2011-12,102.3594,Dec 2011
AUT,2012-01,102.4576,Jan 2012
AUT,2012-02,102.5558,Feb 2012
AUT,2012-03,102.8505,Mar 2012
AUT,2012-04,103.4399,Apr 2012
AUT,2012-05,103.5382,May 2012
AUT,2012-06,103.1452,Jun 2012
AUT,2012-07,102.7523,Jul 2012
AUT,2012-08,102.9488,Aug 2012
AUT,2012-09,103.1452,Sep 2012
AUT,2012-10,102.9488,Oct 2012
AUT,2012-11,102.5558,Nov 2012
AUT,2012-12,102.4576,Dec 2012
AUT,2013-01,102.1629,Jan 2013
AUT,2013-02,102.1629,Feb 2013
AUT,2013-03,102.1629,Mar 2013
AUT,2013-04,102.0647,Apr 2013
AUT,2013-05,101.8682,May 2013
AUT,2013-06,101.77,Jun 2013
AUT,2013-07,101.4753,Jul 2013
AUT,2013-08,101.4753,Aug 2013
AUT,2013-09,101.2788,Sep 2013
AUT,2013-10,101.0823,Oct 2013
AUT,2013-11,100.9841,Nov 2013
AUT,2013-12,100.8859,Dec 2013
AUT,2014-01,100.8859,Jan 2014
AUT,2014-02,100.6894,Feb 2014
AUT,2014-03,100.4929,Mar 2014
AUT,2014-04,100.5912,Apr 2014
AUT,2014-05,100.5912,May 2014
AUT,2014-06,100.6894,Jun 2014
AUT,2014-07,100.3947,Jul 2014
AUT,2014-08,100.5912,Aug 2014
AUT,2014-09,100.5912,Sep 2014
AUT,2014-10,100.4929,Oct 2014
AUT,2014-11,100.3947,Nov 2014
AUT,2014-12,100.1982,Dec 2014
AUT,2015-01,100.1,Jan 2015
AUT,2015-02,100,Feb 2015
AUT,2015-03,100.1,Mar 2015
AUT,2015-04,100.7,Apr 2015
AUT,2015-05,100.8,May 2015
AUT,2015-06,100.9,Jun 2015
