location,time,ppi_tot_int_stage,date
JPN,1960-01,46.11425,Jan 1960
JPN,1960-02,46.01798,Feb 1960
JPN,1960-03,46.01798,Mar 1960
JPN,1960-04,45.92171,Apr 1960
JPN,1960-05,45.53662,May 1960
JPN,1960-06,45.24781,Jun 1960
JPN,1960-07,45.05526,Jul 1960
JPN,1960-08,44.95899,Aug 1960
JPN,1960-09,45.24781,Sep 1960
JPN,1960-10,44.95899,Oct 1960
JPN,1960-11,44.86272,Nov 1960
JPN,1960-12,44.76645,Dec 1960
JPN,1961-01,44.86272,Jan 1961
JPN,1961-02,44.95899,Feb 1961
JPN,1961-03,45.34408,Mar 1961
JPN,1961-04,45.92171,Apr 1961
JPN,1961-05,45.92171,May 1961
JPN,1961-06,45.82544,Jun 1961
JPN,1961-07,45.82544,Jul 1961
JPN,1961-08,46.3068,Aug 1961
JPN,1961-09,46.3068,Sep 1961
JPN,1961-10,45.92171,Oct 1961
JPN,1961-11,45.34408,Nov 1961
JPN,1961-12,44.95899,Dec 1961
JPN,1962-01,44.95899,Jan 1962
JPN,1962-02,44.95899,Feb 1962
JPN,1962-03,44.86272,Mar 1962
JPN,1962-04,44.76645,Apr 1962
JPN,1962-05,44.47763,May 1962
JPN,1962-06,44.18882,Jun 1962
JPN,1962-07,43.99627,Jul 1962
JPN,1962-08,43.9,Aug 1962
JPN,1962-09,43.9,Sep 1962
JPN,1962-10,43.80373,Oct 1962
JPN,1962-11,43.80373,Nov 1962
JPN,1962-12,43.80373,Dec 1962
JPN,1963-01,44.18882,Jan 1963
JPN,1963-02,44.28509,Feb 1963
JPN,1963-03,44.47763,Mar 1963
JPN,1963-04,44.47763,Apr 1963
JPN,1963-05,44.47763,May 1963
JPN,1963-06,44.76645,Jun 1963
JPN,1963-07,44.47763,Jul 1963
JPN,1963-08,44.47763,Aug 1963
JPN,1963-09,44.47763,Sep 1963
JPN,1963-10,44.76645,Oct 1963
JPN,1963-11,44.86272,Nov 1963
JPN,1963-12,44.76645,Dec 1963
JPN,1964-01,44.76645,Jan 1964
JPN,1964-02,44.76645,Feb 1964
JPN,1964-03,44.67017,Mar 1964
JPN,1964-04,44.47763,Apr 1964
JPN,1964-05,44.47763,May 1964
JPN,1964-06,44.28509,Jun 1964
JPN,1964-07,44.47763,Jul 1964
JPN,1964-08,44.47763,Aug 1964
JPN,1964-09,44.47763,Sep 1964
JPN,1964-10,44.67017,Oct 1964
JPN,1964-11,44.67017,Nov 1964
JPN,1964-12,44.47763,Dec 1964
