location,time,ppi_tot_manufact_food,date
AUT,2000-01,81.78047,Jan 2000
AUT,2000-02,81.68712,Feb 2000
AUT,2000-03,81.59376,Mar 2000
AUT,2000-04,81.22034,Apr 2000
AUT,2000-05,81.68712,May 2000
AUT,2000-06,81.87383,Jun 2000
AUT,2000-07,81.03362,Jul 2000
AUT,2000-08,81.87383,Aug 2000
AUT,2000-09,81.68712,Sep 2000
AUT,2000-10,81.87383,Oct 2000
AUT,2000-11,81.59376,Nov 2000
AUT,2000-12,81.96719,Dec 2000
AUT,2001-01,82.71404,Jan 2001
AUT,2001-02,82.8074,Feb 2001
AUT,2001-03,82.71404,Mar 2001
AUT,2001-04,82.52733,Apr 2001
AUT,2001-05,82.71404,May 2001
AUT,2001-06,83.46089,Jun 2001
AUT,2001-07,83.36754,Jul 2001
AUT,2001-08,83.18082,Aug 2001
AUT,2001-09,83.27419,Sep 2001
AUT,2001-10,83.46089,Oct 2001
AUT,2001-11,83.64761,Nov 2001
AUT,2001-12,83.64761,Dec 2001
AUT,2002-01,83.92768,Jan 2002
AUT,2002-02,83.08747,Feb 2002
AUT,2002-03,83.08747,Mar 2002
AUT,2002-04,83.08747,Apr 2002
AUT,2002-05,83.55425,May 2002
AUT,2002-06,82.90076,Jun 2002
AUT,2002-07,82.8074,Jul 2002
AUT,2002-08,82.99411,Aug 2002
AUT,2002-09,82.90076,Sep 2002
AUT,2002-10,82.8074,Oct 2002
AUT,2002-11,82.71404,Nov 2002
AUT,2002-12,82.71404,Dec 2002
AUT,2003-01,82.62068,Jan 2003
AUT,2003-02,82.71404,Feb 2003
AUT,2003-03,82.06055,Mar 2003
AUT,2003-04,82.1539,Apr 2003
AUT,2003-05,81.5004,May 2003
AUT,2003-06,82.06055,Jun 2003
AUT,2003-07,82.06055,Jul 2003
AUT,2003-08,82.52733,Aug 2003
AUT,2003-09,82.8074,Sep 2003
AUT,2003-10,82.90076,Oct 2003
AUT,2003-11,82.71404,Nov 2003
AUT,2003-12,82.8074,Dec 2003
AUT,2004-01,82.99411,Jan 2004
AUT,2004-02,83.08747,Feb 2004
AUT,2004-03,82.99411,Mar 2004
AUT,2004-04,82.99411,Apr 2004
AUT,2004-05,82.90076,May 2004
AUT,2004-06,83.36754,Jun 2004
AUT,2004-07,83.55425,Jul 2004
AUT,2004-08,83.55425,Aug 2004
AUT,2004-09,83.74097,Sep 2004
AUT,2004-10,83.64761,Oct 2004
AUT,2004-11,83.74097,Nov 2004
AUT,2004-12,83.83432,Dec 2004
AUT,2005-01,84.1144,Jan 2005
AUT,2005-02,83.92768,Feb 2005
AUT,2005-03,84.20775,Mar 2005
AUT,2005-04,83.64761,Apr 2005
AUT,2005-05,83.74097,May 2005
AUT,2005-06,84.20775,Jun 2005
AUT,2005-07,84.02103,Jul 2005
AUT,2005-08,84.30111,Aug 2005
AUT,2005-09,84.30111,Sep 2005
AUT,2005-10,84.20775,Oct 2005
AUT,2005-11,84.30111,Nov 2005
AUT,2005-12,84.39446,Dec 2005
AUT,2006-01,84.67453,Jan 2006
AUT,2006-02,85.04796,Feb 2006
AUT,2006-03,85.42139,Mar 2006
AUT,2006-04,85.32803,Apr 2006
AUT,2006-05,85.51474,May 2006
AUT,2006-06,85.70145,Jun 2006
AUT,2006-07,85.79482,Jul 2006
AUT,2006-08,86.16824,Aug 2006
AUT,2006-09,86.07488,Sep 2006
AUT,2006-10,86.07488,Oct 2006
AUT,2006-11,86.07488,Nov 2006
AUT,2006-12,86.16824,Dec 2006
AUT,2007-01,86.16824,Jan 2007
AUT,2007-02,86.82174,Feb 2007
AUT,2007-03,87.10181,Mar 2007
AUT,2007-04,87.28852,Apr 2007
AUT,2007-05,87.47523,May 2007
AUT,2007-06,87.7553,Jun 2007
AUT,2007-07,88.50216,Jul 2007
AUT,2007-08,89.15565,Aug 2007
AUT,2007-09,90.36929,Sep 2007
AUT,2007-10,91.2095,Oct 2007
AUT,2007-11,91.39622,Nov 2007
AUT,2007-12,91.95635,Dec 2007
AUT,2008-01,92.14307,Jan 2008
AUT,2008-02,92.14307,Feb 2008
AUT,2008-03,92.70321,Mar 2008
AUT,2008-04,94.0102,Apr 2008
AUT,2008-05,94.6637,May 2008
AUT,2008-06,94.6637,Jun 2008
AUT,2008-07,95.22384,Jul 2008
AUT,2008-08,95.50391,Aug 2008
AUT,2008-09,95.13049,Sep 2008
AUT,2008-10,94.47699,Oct 2008
AUT,2008-11,93.82349,Nov 2008
