location,time,ppi_tot_manufact,date
AUT,2000-01,84.89748,Jan 2000
AUT,2000-02,85.09087,Feb 2000
AUT,2000-03,85.28426,Mar 2000
AUT,2000-04,85.38096,Apr 2000
AUT,2000-05,85.76773,May 2000
AUT,2000-06,86.15451,Jun 2000
AUT,2000-07,86.15451,Jul 2000
AUT,2000-08,86.44459,Aug 2000
AUT,2000-09,87.41153,Sep 2000
AUT,2000-10,87.41153,Oct 2000
AUT,2000-11,87.41153,Nov 2000
AUT,2000-12,87.12145,Dec 2000
AUT,2001-01,86.83137,Jan 2001
AUT,2001-02,86.73467,Feb 2001
AUT,2001-03,86.54128,Mar 2001
AUT,2001-04,86.73467,Apr 2001
AUT,2001-05,86.73467,May 2001
AUT,2001-06,86.83137,Jun 2001
AUT,2001-07,86.63798,Jul 2001
AUT,2001-08,86.34789,Aug 2001
AUT,2001-09,86.34789,Sep 2001
AUT,2001-10,85.96112,Oct 2001
AUT,2001-11,85.67104,Nov 2001
AUT,2001-12,85.28426,Dec 2001
AUT,2002-01,85.38096,Jan 2002
AUT,2002-02,84.99418,Feb 2002
AUT,2002-03,85.47765,Mar 2002
AUT,2002-04,85.57434,Apr 2002
AUT,2002-05,85.57434,May 2002
AUT,2002-06,85.38096,Jun 2002
AUT,2002-07,85.28426,Jul 2002
AUT,2002-08,85.38096,Aug 2002
AUT,2002-09,85.67104,Sep 2002
AUT,2002-10,85.57434,Oct 2002
AUT,2002-11,85.18757,Nov 2002
AUT,2002-12,85.18757,Dec 2002
AUT,2003-01,85.57434,Jan 2003
AUT,2003-02,86.15451,Feb 2003
AUT,2003-03,86.15451,Mar 2003
AUT,2003-04,85.18757,Apr 2003
AUT,2003-05,85.18757,May 2003
AUT,2003-06,85.18757,Jun 2003
AUT,2003-07,84.99418,Jul 2003
AUT,2003-08,84.99418,Aug 2003
AUT,2003-09,84.89748,Sep 2003
AUT,2003-10,84.89748,Oct 2003
AUT,2003-11,84.99418,Nov 2003
AUT,2003-12,84.89748,Dec 2003
AUT,2004-01,85.38096,Jan 2004
AUT,2004-02,85.38096,Feb 2004
AUT,2004-03,85.67104,Mar 2004
AUT,2004-04,85.86443,Apr 2004
AUT,2004-05,86.44459,May 2004
AUT,2004-06,86.54128,Jun 2004
AUT,2004-07,87.12145,Jul 2004
AUT,2004-08,87.50822,Aug 2004
AUT,2004-09,87.60492,Sep 2004
AUT,2004-10,88.47517,Oct 2004
AUT,2004-11,88.18509,Nov 2004
AUT,2004-12,87.895,Dec 2004
AUT,2005-01,89.44211,Jan 2005
AUT,2005-02,90.02228,Feb 2005
AUT,2005-03,89.82889,Mar 2005
AUT,2005-04,89.92558,Apr 2005
AUT,2005-05,89.82889,May 2005
AUT,2005-06,89.82889,Jun 2005
AUT,2005-07,89.5388,Jul 2005
AUT,2005-08,89.6355,Aug 2005
AUT,2005-09,89.44211,Sep 2005
AUT,2005-10,89.5388,Oct 2005
AUT,2005-11,90.02228,Nov 2005
AUT,2005-12,89.5388,Dec 2005
AUT,2006-01,89.82889,Jan 2006
AUT,2006-02,89.92558,Feb 2006
AUT,2006-03,90.40905,Mar 2006
AUT,2006-04,90.79583,Apr 2006
AUT,2006-05,91.1826,May 2006
AUT,2006-06,91.1826,Jun 2006
AUT,2006-07,91.37599,Jul 2006
AUT,2006-08,91.47269,Aug 2006
AUT,2006-09,91.56938,Sep 2006
AUT,2006-10,91.56938,Oct 2006
AUT,2006-11,91.47269,Nov 2006
AUT,2006-12,91.66608,Dec 2006
AUT,2007-01,92.14954,Jan 2007
AUT,2007-02,92.34293,Feb 2007
AUT,2007-03,92.82641,Mar 2007
AUT,2007-04,92.63302,Apr 2007
AUT,2007-05,92.9231,May 2007
AUT,2007-06,92.9231,Jun 2007
AUT,2007-07,93.30988,Jul 2007
AUT,2007-08,93.30988,Aug 2007
AUT,2007-09,93.40657,Sep 2007
AUT,2007-10,93.59996,Oct 2007
AUT,2007-11,93.69666,Nov 2007
AUT,2007-12,93.79335,Dec 2007
AUT,2008-01,94.18012,Jan 2008
AUT,2008-02,94.18012,Feb 2008
AUT,2008-03,94.76029,Mar 2008
AUT,2008-04,94.95367,Apr 2008
AUT,2008-05,95.34045,May 2008
AUT,2008-06,95.92062,Jun 2008
AUT,2008-07,96.40409,Jul 2008
AUT,2008-08,96.40409,Aug 2008
AUT,2008-09,96.40409,Sep 2008
AUT,2008-10,96.3074,Oct 2008
AUT,2008-11,95.43715,Nov 2008
AUT,2008-12,94.47021,Dec 2008
AUT,2009-01,94.37351,Jan 2009
AUT,2009-02,94.27682,Feb 2009
AUT,2009-03,94.18012,Mar 2009
AUT,2009-04,93.30988,Apr 2009
AUT,2009-05,93.69666,May 2009
AUT,2009-06,93.59996,Jun 2009
AUT,2009-07,93.21318,Jul 2009
AUT,2009-08,93.50327,Aug 2009
AUT,2009-09,94.37351,Sep 2009
AUT,2009-10,93.59996,Oct 2009
AUT,2009-11,93.59996,Nov 2009
AUT,2009-12,93.59996,Dec 2009
AUT,2010-01,93.98673,Jan 2010
AUT,2010-02,94.37351,Feb 2010
AUT,2010-03,94.85699,Mar 2010
AUT,2010-04,95.92062,Apr 2010
AUT,2010-05,96.59748,May 2010
AUT,2010-06,97.17764,Jun 2010
AUT,2010-07,97.27434,Jul 2010
AUT,2010-08,97.66112,Aug 2010
AUT,2010-09,97.8545,Sep 2010
AUT,2010-10,97.66112,Oct 2010
AUT,2010-11,98.14458,Nov 2010
AUT,2010-12,98.53136,Dec 2010
AUT,2011-01,99.20822,Jan 2011
AUT,2011-02,99.595,Feb 2011
AUT,2011-03,100.1752,Mar 2011
AUT,2011-04,100.5619,Apr 2011
AUT,2011-05,100.6586,May 2011
AUT,2011-06,100.6586,Jun 2011
AUT,2011-07,100.7553,Jul 2011
AUT,2011-08,100.6586,Aug 2011
AUT,2011-09,100.852,Sep 2011
AUT,2011-10,100.6586,Oct 2011
AUT,2011-11,100.6586,Nov 2011
AUT,2011-12,100.5619,Dec 2011
AUT,2012-01,100.9487,Jan 2012
AUT,2012-02,101.1421,Feb 2012
AUT,2012-03,101.5289,Mar 2012
AUT,2012-04,101.9157,Apr 2012
AUT,2012-05,101.819,May 2012
AUT,2012-06,101.4322,Jun 2012
AUT,2012-07,101.2388,Jul 2012
AUT,2012-08,101.7223,Aug 2012
AUT,2012-09,102.0124,Sep 2012
AUT,2012-10,101.9157,Oct 2012
AUT,2012-11,101.6256,Nov 2012
AUT,2012-12,101.3355,Dec 2012
AUT,2013-01,101.5289,Jan 2013
AUT,2013-02,101.6256,Feb 2013
AUT,2013-03,101.6256,Mar 2013
AUT,2013-04,101.4322,Apr 2013
AUT,2013-05,101.3355,May 2013
AUT,2013-06,101.3355,Jun 2013
AUT,2013-07,101.2388,Jul 2013
AUT,2013-08,101.3355,Aug 2013
AUT,2013-09,101.3355,Sep 2013
AUT,2013-10,101.1421,Oct 2013
AUT,2013-11,101.0454,Nov 2013
AUT,2013-12,101.0454,Dec 2013
AUT,2014-01,101.0454,Jan 2014
AUT,2014-02,100.9487,Feb 2014
AUT,2014-03,100.852,Mar 2014
AUT,2014-04,100.9487,Apr 2014
AUT,2014-05,100.9487,May 2014
AUT,2014-06,101.0454,Jun 2014
AUT,2014-07,100.9487,Jul 2014
AUT,2014-08,101.0454,Aug 2014
AUT,2014-09,100.9487,Sep 2014
AUT,2014-10,100.7553,Oct 2014
AUT,2014-11,100.5619,Nov 2014
AUT,2014-12,100.0785,Dec 2014
AUT,2015-01,99.6917,Jan 2015
AUT,2015-02,99.89168,Feb 2015
AUT,2015-03,100.2916,Mar 2015
AUT,2015-04,100.5916,Apr 2015
AUT,2015-05,100.7916,May 2015
AUT,2015-06,100.7916,Jun 2015
AUT,2015-07,100.4916,Jul 2015
AUT,2015-08,99.99167,Aug 2015
AUT,2015-09,99.79169,Sep 2015
AUT,2015-10,99.39172,Oct 2015
AUT,2015-11,99.29173,Nov 2015
AUT,2015-12,98.99175,Dec 2015
AUT,2016-01,98.59178,Jan 2016
AUT,2016-02,98.09183,Feb 2016
AUT,2016-03,98.29181,Mar 2016
AUT,2016-04,98.49179,Apr 2016
AUT,2016-05,98.79177,May 2016
AUT,2016-06,99.09174,Jun 2016
AUT,2016-07,99.09174,Jul 2016
AUT,2016-08,98.99175,Aug 2016
AUT,2016-09,99.09174,Sep 2016
AUT,2016-10,99.39172,Oct 2016
AUT,2016-11,99.5917,Nov 2016
AUT,2016-12,100.0917,Dec 2016
AUT,2017-01,100.7916,Jan 2017
AUT,2017-02,101.0916,Feb 2017
AUT,2017-03,101.3915,Mar 2017
AUT,2017-04,101.7915,Apr 2017
AUT,2017-05,101.3915,May 2017
AUT,2017-06,101.2916,Jun 2017
AUT,2017-07,100.8916,Jul 2017
AUT,2017-08,101.0916,Aug 2017
AUT,2017-09,101.3915,Sep 2017
AUT,2017-10,101.7915,Oct 2017
AUT,2017-11,102.1915,Nov 2017
AUT,2017-12,101.9915,Dec 2017
AUT,2018-01,102.5915,Jan 2018
AUT,2018-02,102.5915,Feb 2018
AUT,2018-03,102.6914,Mar 2018
AUT,2018-04,103.0914,Apr 2018
AUT,2018-05,103.5914,May 2018
AUT,2018-06,103.8913,Jun 2018
AUT,2018-07,103.9913,Jul 2018
AUT,2018-08,104.0913,Aug 2018
AUT,2018-09,104.1913,Sep 2018
AUT,2018-10,104.5913,Oct 2018
AUT,2018-11,104.2913,Nov 2018
AUT,2018-12,103.4914,Dec 2018
AUT,2019-01,103.5914,Jan 2019
AUT,2019-02,103.6914,Feb 2019
AUT,2019-03,103.8913,Mar 2019
AUT,2019-04,104.1913,Apr 2019
AUT,2019-05,103.9913,May 2019
AUT,2019-06,103.7914,Jun 2019
AUT,2019-07,103.8913,Jul 2019
AUT,2019-08,103.7914,Aug 2019
AUT,2019-09,103.7914,Sep 2019
AUT,2019-10,103.6914,Oct 2019
AUT,2019-11,103.5914,Nov 2019
AUT,2019-12,103.6914,Dec 2019
AUT,2020-01,103.6914,Jan 2020
AUT,2020-02,103.5914,Feb 2020
AUT,2020-03,102.8914,Mar 2020
AUT,2020-04,102.2915,Apr 2020
AUT,2020-05,101.9915,May 2020
AUT,2020-06,102.2915,Jun 2020
AUT,2020-07,102.3915,Jul 2020
AUT,2020-08,102.2915,Aug 2020
AUT,2020-09,102.0915,Sep 2020
AUT,2020-10,102.3915,Oct 2020
AUT,2020-11,102.4915,Nov 2020
AUT,2020-12,102.7914,Dec 2020
AUT,2021-01,103.5914,Jan 2021
AUT,2021-02,104.5913,Feb 2021
AUT,2021-03,105.6912,Mar 2021
AUT,2021-04,106.6911,Apr 2021
AUT,2021-05,107.591,May 2021
AUT,2021-06,108.491,Jun 2021
AUT,2021-07,110.2908,Jul 2021
AUT,2021-08,110.9908,Aug 2021
AUT,2021-09,111.3907,Sep 2021
AUT,2021-10,112.9906,Oct 2021
AUT,2021-11,113.9905,Nov 2021
AUT,2021-12,114.1905,Dec 2021
AUT,2022-01,116.4153,Jan 2022
AUT,2022-02,117.7258,Feb 2022
AUT,2022-03,120.5652,Mar 2022
AUT,2022-04,121.9848,Apr 2022
AUT,2022-05,123.1861,May 2022
AUT,2022-06,124.0598,Jun 2022
AUT,2022-07,124.0598,Jul 2022
AUT,2022-08,123.7322,Aug 2022
AUT,2022-09,124.3874,Sep 2022
AUT,2022-10,123.9506,Oct 2022
AUT,2022-11,122.9677,Nov 2022
AUT,2022-12,122.6401,Dec 2022
BEL,2001-01,75,Jan 2001
BEL,2001-02,74.8,Feb 2001
BEL,2001-03,74.6,Mar 2001
BEL,2001-04,74.8,Apr 2001
BEL,2001-05,75.1,May 2001
BEL,2001-06,75,Jun 2001
BEL,2001-07,73.7,Jul 2001
BEL,2001-08,73.3,Aug 2001
BEL,2001-09,73.6,Sep 2001
BEL,2001-10,72.5,Oct 2001
BEL,2001-11,71.5,Nov 2001
BEL,2001-12,70.9,Dec 2001
BEL,2002-01,71.3,Jan 2002
BEL,2002-02,71.2,Feb 2002
BEL,2002-03,72,Mar 2002
BEL,2002-04,73.5,Apr 2002
BEL,2002-05,73.6,May 2002
BEL,2002-06,73.2,Jun 2002
BEL,2002-07,73.2,Jul 2002
BEL,2002-08,73.6,Aug 2002
BEL,2002-09,75.2,Sep 2002
BEL,2002-10,76.1,Oct 2002
BEL,2002-11,74.9,Nov 2002
BEL,2002-12,75.5,Dec 2002
BEL,2003-01,72.6,Jan 2003
BEL,2003-02,73.7,Feb 2003
BEL,2003-03,73.9,Mar 2003
BEL,2003-04,72.9,Apr 2003
BEL,2003-05,71.5,May 2003
BEL,2003-06,71.6,Jun 2003
BEL,2003-07,71.7,Jul 2003
BEL,2003-08,72.1,Aug 2003
BEL,2003-09,72.3,Sep 2003
BEL,2003-10,72.6,Oct 2003
BEL,2003-11,73,Nov 2003
BEL,2003-12,72.7,Dec 2003
BEL,2004-01,73.3,Jan 2004
BEL,2004-02,73.4,Feb 2004
BEL,2004-03,74.6,Mar 2004
BEL,2004-04,75.4,Apr 2004
BEL,2004-05,77.1,May 2004
BEL,2004-06,77.6,Jun 2004
BEL,2004-07,78,Jul 2004
BEL,2004-08,79.8,Aug 2004
BEL,2004-09,80.6,Sep 2004
BEL,2004-10,82.6,Oct 2004
BEL,2004-11,81.9,Nov 2004
BEL,2004-12,81.8,Dec 2004
BEL,2005-01,79.6,Jan 2005
BEL,2005-02,80,Feb 2005
BEL,2005-03,81.9,Mar 2005
BEL,2005-04,82.2,Apr 2005
BEL,2005-05,81.4,May 2005
BEL,2005-06,82,Jun 2005
BEL,2005-07,82.9,Jul 2005
BEL,2005-08,83.5,Aug 2005
BEL,2005-09,85.3,Sep 2005
BEL,2005-10,86.3,Oct 2005
BEL,2005-11,85.1,Nov 2005
BEL,2005-12,85.6,Dec 2005
BEL,2006-01,86.7,Jan 2006
BEL,2006-02,86.7,Feb 2006
BEL,2006-03,87.2,Mar 2006
BEL,2006-04,88.3,Apr 2006
BEL,2006-05,88.5,May 2006
BEL,2006-06,88.4,Jun 2006
BEL,2006-07,89.5,Jul 2006
BEL,2006-08,89.5,Aug 2006
BEL,2006-09,88.5,Sep 2006
BEL,2006-10,87.6,Oct 2006
BEL,2006-11,87.4,Nov 2006
BEL,2006-12,87.3,Dec 2006
BEL,2007-01,87.5,Jan 2007
BEL,2007-02,87.6,Feb 2007
BEL,2007-03,88.9,Mar 2007
BEL,2007-04,89.7,Apr 2007
BEL,2007-05,90.5,May 2007
BEL,2007-06,90.9,Jun 2007
BEL,2007-07,91.3,Jul 2007
BEL,2007-08,91.5,Aug 2007
BEL,2007-09,91.8,Sep 2007
BEL,2007-10,92.6,Oct 2007
BEL,2007-11,93.8,Nov 2007
BEL,2007-12,93.8,Dec 2007
BEL,2008-01,94.2,Jan 2008
BEL,2008-02,94.5,Feb 2008
BEL,2008-03,95.1,Mar 2008
BEL,2008-04,96,Apr 2008
BEL,2008-05,97.1,May 2008
BEL,2008-06,98.4,Jun 2008
BEL,2008-07,99.8,Jul 2008
BEL,2008-08,99.1,Aug 2008
BEL,2008-09,98.7,Sep 2008
BEL,2008-10,97.1,Oct 2008
BEL,2008-11,93.3,Nov 2008
BEL,2008-12,88.8,Dec 2008
BEL,2009-01,89.1,Jan 2009
BEL,2009-02,89.3,Feb 2009
BEL,2009-03,88.9,Mar 2009
BEL,2009-04,90,Apr 2009
BEL,2009-05,91.7,May 2009
BEL,2009-06,93.6,Jun 2009
BEL,2009-07,92.7,Jul 2009
BEL,2009-08,93.9,Aug 2009
BEL,2009-09,93.4,Sep 2009
BEL,2009-10,93,Oct 2009
BEL,2009-11,94.4,Nov 2009
BEL,2009-12,94.2,Dec 2009
BEL,2010-01,95.3,Jan 2010
BEL,2010-02,95.6,Feb 2010
BEL,2010-03,96.8,Mar 2010
BEL,2010-04,98.1,Apr 2010
BEL,2010-05,99.1,May 2010
BEL,2010-06,99.6,Jun 2010
BEL,2010-07,99.4,Jul 2010
BEL,2010-08,99.8,Aug 2010
BEL,2010-09,100,Sep 2010
BEL,2010-10,100.2,Oct 2010
BEL,2010-11,100.8,Nov 2010
BEL,2010-12,102.2,Dec 2010
BEL,2011-01,104.2,Jan 2011
BEL,2011-02,105.7,Feb 2011
BEL,2011-03,107.2,Mar 2011
BEL,2011-04,108.4,Apr 2011
BEL,2011-05,107.8,May 2011
BEL,2011-06,107.6,Jun 2011
BEL,2011-07,107.9,Jul 2011
BEL,2011-08,107.3,Aug 2011
BEL,2011-09,107.7,Sep 2011
BEL,2011-10,107.7,Oct 2011
BEL,2011-11,107.6,Nov 2011
BEL,2011-12,107.7,Dec 2011
BEL,2012-01,109.1,Jan 2012
BEL,2012-02,110.2,Feb 2012
BEL,2012-03,111.4,Mar 2012
BEL,2012-04,111.9,Apr 2012
BEL,2012-05,111.1,May 2012
BEL,2012-06,109.8,Jun 2012
BEL,2012-07,110,Jul 2012
BEL,2012-08,111.5,Aug 2012
BEL,2012-09,112.3,Sep 2012
BEL,2012-10,111.8,Oct 2012
BEL,2012-11,111.1,Nov 2012
BEL,2012-12,110.4,Dec 2012
BEL,2013-01,110.6,Jan 2013
BEL,2013-02,111.3,Feb 2013
BEL,2013-03,111.2,Mar 2013
BEL,2013-04,109.6,Apr 2013
BEL,2013-05,109.1,May 2013
BEL,2013-06,108.9,Jun 2013
BEL,2013-07,109.5,Jul 2013
BEL,2013-08,109.5,Aug 2013
BEL,2013-09,110.2,Sep 2013
BEL,2013-10,109.1,Oct 2013
BEL,2013-11,108.9,Nov 2013
BEL,2013-12,109.2,Dec 2013
BEL,2014-01,108.4,Jan 2014
BEL,2014-02,108.4,Feb 2014
BEL,2014-03,107.9,Mar 2014
BEL,2014-04,107.8,Apr 2014
BEL,2014-05,108,May 2014
BEL,2014-06,108.4,Jun 2014
BEL,2014-07,108.2,Jul 2014
BEL,2014-08,107.7,Aug 2014
BEL,2014-09,107.3,Sep 2014
BEL,2014-10,106.1,Oct 2014
BEL,2014-11,104.3,Nov 2014
BEL,2014-12,100.7,Dec 2014
BEL,2015-01,98.3,Jan 2015
BEL,2015-02,99.8,Feb 2015
BEL,2015-03,101.8,Mar 2015
BEL,2015-04,102.5,Apr 2015
BEL,2015-05,103.6,May 2015
BEL,2015-06,103,Jun 2015
BEL,2015-07,102,Jul 2015
BEL,2015-08,99.5,Aug 2015
BEL,2015-09,98.5,Sep 2015
BEL,2015-10,98,Oct 2015
BEL,2015-11,97.7,Nov 2015
BEL,2015-12,95.5,Dec 2015
BEL,2016-01,93.2,Jan 2016
BEL,2016-02,92.8,Feb 2016
BEL,2016-03,94.4,Mar 2016
BEL,2016-04,95.2,Apr 2016
BEL,2016-05,97.5,May 2016
BEL,2016-06,99,Jun 2016
BEL,2016-07,99.1,Jul 2016
BEL,2016-08,99,Aug 2016
BEL,2016-09,100.2,Sep 2016
BEL,2016-10,101.9,Oct 2016
BEL,2016-11,102.3,Nov 2016
BEL,2016-12,104.2,Dec 2016
BEL,2017-01,105.4,Jan 2017
BEL,2017-02,106.3,Feb 2017
BEL,2017-03,105.8,Mar 2017
BEL,2017-04,106.5,Apr 2017
BEL,2017-05,105.4,May 2017
BEL,2017-06,104.3,Jun 2017
BEL,2017-07,104.3,Jul 2017
BEL,2017-08,105.3,Aug 2017
BEL,2017-09,106.3,Sep 2017
BEL,2017-10,107.4,Oct 2017
BEL,2017-11,108.6,Nov 2017
BEL,2017-12,108.6,Dec 2017
BEL,2018-01,109.4,Jan 2018
BEL,2018-02,108.7,Feb 2018
BEL,2018-03,108.7,Mar 2018
BEL,2018-04,109.5,Apr 2018
BEL,2018-05,110.9,May 2018
BEL,2018-06,111.7,Jun 2018
BEL,2018-07,111.7,Jul 2018
BEL,2018-08,112.1,Aug 2018
BEL,2018-09,112.5,Sep 2018
BEL,2018-10,113.3,Oct 2018
BEL,2018-11,112.7,Nov 2018
BEL,2018-12,110.9,Dec 2018
BEL,2019-01,110.4,Jan 2019
BEL,2019-02,111.4,Feb 2019
BEL,2019-03,111.8,Mar 2019
BEL,2019-04,112.8,Apr 2019
BEL,2019-05,112.7,May 2019
BEL,2019-06,111.7,Jun 2019
BEL,2019-07,111.5,Jul 2019
BEL,2019-08,111,Aug 2019
BEL,2019-09,111.6,Sep 2019
BEL,2019-10,111.5,Oct 2019
BEL,2019-11,111.4,Nov 2019
BEL,2019-12,112,Dec 2019
BEL,2020-01,112,Jan 2020
BEL,2020-02,110.9,Feb 2020
BEL,2020-03,107.6,Mar 2020
BEL,2020-04,105.1,Apr 2020
BEL,2020-05,103.2,May 2020
BEL,2020-06,107,Jun 2020
BEL,2020-07,107.9,Jul 2020
BEL,2020-08,108.1,Aug 2020
BEL,2020-09,107.7,Sep 2020
BEL,2020-10,107.6,Oct 2020
BEL,2020-11,108,Nov 2020
BEL,2020-12,109.1,Dec 2020
BEL,2021-01,110.6,Jan 2021
BEL,2021-02,113,Feb 2021
BEL,2021-03,115.1,Mar 2021
BEL,2021-04,116.7,Apr 2021
BEL,2021-05,118,May 2021
BEL,2021-06,120,Jun 2021
BEL,2021-07,121.7,Jul 2021
BEL,2021-08,123,Aug 2021
BEL,2021-09,124.4,Sep 2021
BEL,2021-10,128.8,Oct 2021
BEL,2021-11,131,Nov 2021
BEL,2021-12,131.1,Dec 2021
BEL,2022-01,134.6,Jan 2022
BEL,2022-02,137,Feb 2022
BEL,2022-03,143.7,Mar 2022
BEL,2022-04,146.1,Apr 2022
BEL,2022-05,147.8,May 2022
BEL,2022-06,151.7,Jun 2022
BEL,2022-07,150.3,Jul 2022
BEL,2022-08,150.7,Aug 2022
BEL,2022-09,149.5,Sep 2022
BEL,2022-10,151.2,Oct 2022
BEL,2022-11,150.3,Nov 2022
BEL,2022-12,148.3,Dec 2022
CAN,1956-01,14.19045,Jan 1956
CAN,1956-02,14.19045,Feb 1956
CAN,1956-03,14.29715,Mar 1956
CAN,1956-04,14.29715,Apr 1956
CAN,1956-05,14.29715,May 1956
CAN,1956-06,14.40384,Jun 1956
CAN,1956-07,14.29715,Jul 1956
CAN,1956-08,14.40384,Aug 1956
CAN,1956-09,14.40384,Sep 1956
CAN,1956-10,14.40384,Oct 1956
CAN,1956-11,14.51054,Nov 1956
CAN,1956-12,14.51054,Dec 1956
CAN,1957-01,14.61723,Jan 1957
CAN,1957-02,14.61723,Feb 1957
CAN,1957-03,14.61723,Mar 1957
CAN,1957-04,14.61723,Apr 1957
CAN,1957-05,14.61723,May 1957
CAN,1957-06,14.61723,Jun 1957
CAN,1957-07,14.61723,Jul 1957
CAN,1957-08,14.61723,Aug 1957
CAN,1957-09,14.61723,Sep 1957
CAN,1957-10,14.61723,Oct 1957
CAN,1957-11,14.61723,Nov 1957
CAN,1957-12,14.61723,Dec 1957
CAN,1958-01,14.61723,Jan 1958
CAN,1958-02,14.61723,Feb 1958
CAN,1958-03,14.61723,Mar 1958
