iso,date,Drought
AFG,Jan 1969,1
AFG,Aug 1971,1
AFG,May 2000,1
AFG,Jul 2006,1
AFG,Oct 2008,1
AFG,Jan 2011,1
AFG,Apr 2018,1
AFG,Jan 2021,1
AGO,Jul 1981,1
AGO,Jan 1989,1
AGO,Mar 1997,1
AGO,Jan 2001,1
AGO,Sep 2004,1
AGO,Mar 2012,1
AGO,May 2017,1
AGO,Dec 2020,1
ARG,Jun 2003,1
ARG,Jan 2009,1
ARG,Jan 2018,1
ARM,Jun 2000,1
ATG,Nov 1983,1
AUS,Dec 1974,1
AUS,May 1976,1
AUS,Dec 1992,1
AUS,Apr 2002,1
AUS,Oct 2006,1
AUS,Jan 2018,1
AZE,Oct 2000,1
BDI,Oct 1999,1
BDI,Sep 2003,1
BDI,Jan 2005,1
BDI,Sep 2008,1
BDI,Dec 2009,1
BEL,Jul 1976,1
BEN,Jan 1972,1
BEN,Jan 1983,1
BFA,Jul 1966,1
BFA,Apr 1969,1
BFA,Nov 1980,1
BFA,Dec 1990,1
BFA,Dec 1995,1
BFA,Mar 1998,1
BFA,Apr 2001,1
BFA,Dec 2011,1
BFA,May 2014,1
BGD,Jul 1947,1
BGD,Oct 1974,1
BGD,Jun 1979,1
BGD,Jul 1983,1
BGD,Apr 1989,1
BGD,Jul 2009,1
BGR,May 1983,1
BGR,Mar 2000,1
BIH,Aug 2000,1
BIH,May 2003,1
BOL,Apr 1983,1
BOL,Dec 1983,1
BOL,Oct 1988,1
BOL,Dec 1994,1
BOL,Apr 2000,1
BOL,Oct 2004,1
BOL,Dec 2008,1
BOL,Jun 2010,1
BOL,Jan 2013,1
BOL,Oct 2014,1
BOL,Mar 2016,1
BRA,Aug 1970,1
BRA,Sep 1983,1
BRA,Nov 1985,1
BRA,Jun 1987,1
BRA,Feb 1988,1
BRA,Apr 1998,1
BRA,Jun 2001,1
BRA,Sep 2002,1
BRA,Dec 2004,1
BRA,Oct 2005,1
BRA,Oct 2007,1
BRA,Oct 2010,1
BRA,May 2012,1
BRA,Jan 2014,1
BRA,Jan 2020,1
BRA,Jan 2021,1
BRA,Jan 2022,1
BRB,Jan 2010,1
BWA,Jul 1965,1
BWA,Jun 1968,1
BWA,Jan 1970,1
BWA,Apr 1982,1
BWA,Jul 2015,1
CAF,Feb 1983,1
CAN,Jan 1931,1
CAN,Jan 1961,1
CAN,Jan 1977,1
CAN,Jan 1984,1
CAN,Jan 1988,1
CHL,Aug 1968,1
CHL,Jan 1991,1
CHN,Mar 1965,1
CHN,Jan 1983,1
CHN,Jun 1988,1
CHN,Feb 1991,1
CHN,May 1992,1
CHN,Jan 1994,1
CHN,Mar 1994,1
CHN,Jan 1995,1
CHN,May 1997,1
CHN,Mar 1999,1
CHN,Apr 2000,1
CHN,Aug 2000,1
CHN,Sep 2000,1
CHN,Feb 2001,1
CHN,Mar 2001,1
CHN,Apr 2002,1
CHN,Jun 2002,1
CHN,Sep 2002,1
CHN,Jan 2003,1
CHN,Jul 2003,1
CHN,Jul 2005,1
CHN,Oct 2005,1
CHN,May 2006,1
CHN,Nov 2008,1
CHN,Jun 2009,1
CHN,Oct 2009,1
CHN,Dec 2010,1
CHN,Jan 2013,1
CHN,Jun 2014,1
CHN,Aug 2014,1
CHN,May 2015,1
CHN,Jun 2016,1
CHN,Apr 2017,1
CHN,Jan 2021,1
CHN,Jan 2022,1
CMR,Jan 1971,1
CMR,Jan 2001,1
CMR,Mar 2005,1
CMR,Jun 2012,1
COG,Feb 1983,1
COL,Jan 1998,1
COL,Oct 2015,1
COM,Aug 1981,1
CPV,Mar 1998,1
CPV,Jun 2002,1
CPV,Nov 2017,1
CRI,Jul 1994,1
CRI,May 1998,1
CRI,Aug 2015,1
CRI,Mar 2019,1
CUB,Jan 1998,1
CUB,Aug 2000,1
CUB,Aug 2004,1
CUB,May 2015,1
CYP,Mar 1991,1
CYP,Mar 2000,1
DJI,Jun 1980,1
DJI,Mar 1988,1
DJI,Feb 1996,1
DJI,Jun 2001,1
DJI,Apr 2005,1
DJI,Jan 2007,1
DJI,Jul 2008,1
DJI,Nov 2010,1
DJI,Jun 2022,1
DNK,May 1992,1
DOM,Aug 1968,1
ECU,Mar 1964,1
ECU,Feb 1997,1
ECU,Nov 2009,1
ECU,Feb 2013,1
ERI,Nov 1993,1
ERI,Oct 1999,1
ERI,Oct 2008,1
ESP,Sep 1990,1
ESP,Apr 1999,1
ETH,Jul 1965,1
ETH,Sep 1969,1
ETH,Dec 1973,1
ETH,May 1983,1
ETH,Jun 1987,1
ETH,Oct 1989,1
ETH,Feb 1997,1
ETH,Jul 1998,1
ETH,Sep 1999,1
ETH,Nov 2005,1
ETH,May 2008,1
ETH,Jan 2009,1
ETH,Jan 2011,1
ETH,Sep 2015,1
ETH,May 2021,1
FJI,Jan 1998,1
FJI,Sep 2015,1
FRA,Jul 1982,1
FRA,Jul 1989,1
FRA,Jul 1991,1
FRA,Apr 1997,1
FRA,Jul 2022,1
FSM,Mar 1998,1
GBR,Apr 2022,1
GEO,Aug 2000,1
GHA,Jan 1971,1
GHA,May 1977,1
GHA,Oct 1983,1
GIN,Feb 1981,1
GIN,Feb 1998,1
GMB,Nov 1968,1
GMB,Jan 1971,1
