iso,date,Extreme temperature
AFG,Dec 1990,1
AFG,Jan 1991,1
AFG,Jan 2001,1
AFG,Nov 2001,1
AFG,Apr 2005,1
AFG,Jan 2008,1
AFG,Jan 2012,1
AFG,Jan 2023,1
ALB,Mar 1985,1
ALB,Jul 2004,1
ALB,Jul 2007,1
ALB,Jan 2012,1
ALB,Jan 2017,1
ALB,May 2022,1
ARG,Jan 1972,1
ARG,Sep 1995,1
ARG,Jun 2000,1
ARG,Jul 2001,1
ARG,Jul 2002,1
ARG,Jul 2004,1
ARG,May 2007,1
ARG,Jul 2010,1
ARM,Dec 2013,1
AUS,Feb 1993,1
AUS,Jan 1994,1
AUS,Dec 1994,1
AUS,Nov 1995,1
AUS,Jan 2009,1
AUS,Jan 2014,1
AUS,Dec 2018,1
AUT,Jul 2003,1
AUT,Dec 2005,1
AUT,Jul 2007,1
AUT,Dec 2009,1
AUT,Feb 2012,1
AUT,Jul 2019,1
AUT,May 2022,1
AZE,Feb 2012,1
BEL,Jan 1985,1
BEL,Aug 2003,1
BEL,Nov 2005,1
BEL,Dec 2005,1
BEL,Jun 2006,1
BEL,Jan 2009,1
BEL,Feb 2012,1
BEL,Jun 2015,1
BEL,Jul 2018,1
BEL,Jun 2019,1
BEL,Jul 2019,1
BEL,Aug 2019,1
BEL,Aug 2020,1
BEL,May 2022,1
BGD,Jan 1989,1
BGD,Dec 1989,1
BGD,Jan 1990,1
BGD,Dec 1990,1
BGD,Dec 1991,1
BGD,Feb 1994,1
BGD,Jan 1995,1
BGD,Jan 1996,1
BGD,Jan 1997,1
BGD,Jan 1998,1
BGD,Jan 2000,1
BGD,Dec 2001,1
BGD,Dec 2002,1
BGD,May 2003,1
BGD,Dec 2003,1
BGD,Jul 2005,1
BGD,Dec 2005,1
BGD,Jan 2007,1
BGD,Dec 2009,1
BGD,Jan 2011,1
BGD,Dec 2011,1
BGD,Dec 2012,1
BGD,Jan 2018,1
BGD,Nov 2019,1
BGR,Nov 1998,1
BGR,Jan 2000,1
BGR,Jun 2000,1
BGR,Jan 2006,1
BGR,Jun 2007,1
BGR,Jan 2008,1
BGR,Jan 2010,1
BGR,Jan 2012,1
BGR,Dec 2012,1
BGR,May 2022,1
BIH,Jul 2007,1
BIH,Jan 2009,1
BIH,Dec 2010,1
BIH,Feb 2012,1
BLR,May 2000,1
BLR,Jan 2006,1
BLR,Jan 2012,1
BLR,Jan 2013,1
BLR,Jan 2014,1
BLR,Jan 2017,1
BOL,Jul 2000,1
BOL,Jul 2001,1
BOL,Jul 2007,1
BOL,Jul 2010,1
BOL,Aug 2013,1
BRA,Dec 1968,1
BRA,Jul 1975,1
BRA,Dec 1975,1
BRA,May 1988,1
BRA,Jun 1994,1
BRA,Jul 2000,1
BRA,Jul 2004,1
BRA,Feb 2010,1
CAN,Jul 1936,1
CAN,Jan 1982,1
CAN,Dec 1992,1
CAN,Dec 2013,1
CAN,Jan 2014,1
CAN,Jun 2018,1
CAN,Jun 2021,1
CAN,Jan 2023,1
CHE,Dec 2001,1
CHE,Jul 2003,1
CHE,Dec 2005,1
CHE,Nov 2010,1
CHE,Feb 2012,1
CHE,Dec 2012,1
CHE,May 2022,1
CHL,Aug 1995,1
CHL,Jul 2000,1
CHL,Jul 2002,1
CHL,Jul 2004,1
CHL,Jul 2007,1
CHL,Jul 2010,1
CHL,Jul 2011,1
CHL,Sep 2013,1
CHN,Aug 1994,1
CHN,Jan 1997,1
CHN,Jul 1997,1
CHN,Sep 1997,1
CHN,Jul 2002,1
CHN,Jul 2004,1
CHN,Jul 2005,1
CHN,Jan 2008,1
CHN,Feb 2008,1
CHN,Jan 2011,1
CHN,Feb 2012,1
CHN,Jul 2013,1
CHN,Jan 2016,1
CSK,Nov 1981,1
CSK,Jan 1982,1
CSK,Jan 1985,1
CYP,Aug 1998,1
CYP,Jul 2000,1
CYP,Jun 2007,1
CYP,May 2022,1
CZE,Jul 2003,1
CZE,Dec 2005,1
CZE,Nov 2010,1
CZE,Jan 2012,1
CZE,Dec 2012,1
CZE,Feb 2018,1
CZE,May 2022,1
DEU,Jan 1997,1
DEU,Aug 2003,1
DEU,Nov 2005,1
DEU,Jan 2006,1
DEU,Jul 2006,1
DEU,Jan 2009,1
DEU,Dec 2009,1
DEU,Nov 2010,1
DEU,Feb 2012,1
DEU,Dec 2012,1
DEU,Jul 2018,1
DEU,Jun 2019,1
DEU,Jul 2019,1
DEU,May 2022,1
DFR,Jan 1979,1
DNK,May 2022,1
DZA,Jun 2003,1
DZA,Jan 2017,1
DZA,Jan 2019,1
EGY,Jun 1995,1
EGY,Jul 1996,1
EGY,Jan 2000,1
EGY,Aug 2015,1
ESP,Jan 1971,1
ESP,Jan 1985,1
ESP,Apr 1995,1
ESP,Jul 1995,1
ESP,Aug 2003,1
ESP,Jul 2004,1
ESP,Dec 2005,1
ESP,Jul 2006,1
ESP,Aug 2018,1
ESP,Jun 2019,1
ESP,May 2022,1
EST,Jan 2006,1
EST,Feb 2012,1
EST,Feb 2018,1
EST,May 2022,1
FIN,May 2022,1
FRA,Jan 1985,1
FRA,Jul 1990,1
FRA,Feb 1991,1
FRA,Apr 1991,1
FRA,Jan 1997,1
FRA,Aug 2003,1
FRA,Nov 2005,1
FRA,Dec 2005,1
FRA,Jul 2006,1
FRA,Jan 2009,1
FRA,Dec 2009,1
FRA,Nov 2010,1
FRA,Feb 2012,1
FRA,Jun 2015,1
FRA,Feb 2018,1
FRA,Jul 2018,1
FRA,Jun 2019,1
FRA,Jul 2019,1
FRA,Jul 2020,1
FRA,Apr 2021,1
FRA,May 2022,1
GBR,Feb 1991,1
GBR,Dec 1997,1
GBR,Jul 2003,1
GBR,Nov 2005,1
GBR,Dec 2005,1
GBR,Dec 2009,1
GBR,Nov 2010,1
GBR,Jul 2013,1
GBR,Jun 2018,1
GBR,Jun 2019,1
GBR,Jul 2019,1
GBR,Jun 2020,1
GBR,May 2022,1
GRC,Aug 1985,1
GRC,Jul 1987,1
GRC,Jul 1988,1
GRC,Feb 1991,1
GRC,Jul 2000,1
GRC,Jun 2007,1
GRC,Feb 2012,1
GRC,Jan 2017,1
GRC,May 2022,1
GTM,Nov 2001,1
GTM,Nov 2006,1
GTM,Dec 2011,1
GTM,Nov 2014,1
HKG,Nov 1987,1
HRV,Jun 2000,1
HRV,Jul 2003,1
HRV,Dec 2005,1
HRV,Dec 2010,1
HRV,Feb 2012,1
HRV,Dec 2012,1
HRV,May 2022,1
HUN,Dec 2001,1
HUN,Dec 2005,1
HUN,Jul 2007,1
HUN,Jan 2008,1
HUN,Feb 2012,1
HUN,Dec 2018,1
HUN,May 2022,1
IND,Jun 1953,1
IND,May 1958,1
IND,Dec 1961,1
IND,Jun 1965,1
IND,Jan 1973,1
IND,Dec 1973,1
IND,May 1978,1
IND,May 1979,1
IND,Jul 1979,1
IND,Jan 1980,1
IND,Apr 1980,1
IND,Jan 1981,1
IND,Dec 1982,1
IND,Dec 1984,1
IND,Jun 1985,1
IND,Dec 1985,1
IND,Jun 1987,1
IND,May 1988,1
IND,Jan 1989,1
IND,Dec 1989,1
IND,Jan 1990,1
IND,Dec 1990,1
IND,Jan 1992,1
IND,May 1994,1
IND,May 1995,1
IND,May 1998,1
IND,Dec 1998,1
IND,Apr 1999,1
IND,Jan 2000,1
IND,Jan 2001,1
IND,Dec 2001,1
IND,May 2002,1
IND,Dec 2002,1
IND,May 2003,1
IND,Dec 2003,1
IND,Jun 2005,1
IND,Dec 2005,1
IND,May 2006,1
IND,Mar 2007,1
IND,Apr 2007,1
IND,Dec 2007,1
IND,Dec 2008,1
IND,Apr 2009,1
IND,Jan 2010,1
IND,Mar 2010,1
IND,Jan 2011,1
IND,Dec 2011,1
IND,Jan 2012,1
IND,Dec 2012,1
IND,Apr 2013,1
IND,Jan 2014,1
IND,Dec 2014,1
IND,May 2015,1
IND,Apr 2016,1
IND,Apr 2017,1
IND,Jan 2018,1
IND,Jun 2019,1
IND,Mar 2022,1
IND,Apr 2023,1
IND,Jun 2023,1
IRL,May 2022,1
IRN,Jul 1953,1
ISR,Feb 1992,1
ISR,Jul 2000,1
ITA,Jul 1998,1
ITA,Jul 2003,1
ITA,Dec 2005,1
ITA,Jun 2007,1
ITA,Dec 2009,1
ITA,Dec 2010,1
ITA,Aug 2011,1
ITA,Feb 2012,1
ITA,Feb 2018,1
ITA,Aug 2018,1
ITA,Jun 2019,1
ITA,May 2022,1
JOR,Jan 1992,1
JOR,Jul 2000,1
JPN,Jul 2004,1
JPN,Aug 2007,1
JPN,Jul 2008,1
JPN,Jul 2009,1
JPN,Jul 2010,1
JPN,Jul 2011,1
JPN,May 2013,1
JPN,Jul 2014,1
JPN,May 2015,1
JPN,Jul 2015,1
JPN,Aug 2015,1
JPN,Jan 2016,1
JPN,Aug 2016,1
JPN,Jul 2018,1
JPN,Jul 2019,1
JPN,Jun 2022,1
KAZ,Nov 1997,1
KAZ,Jan 2001,1
KAZ,Dec 2012,1
KGZ,Oct 2000,1
KGZ,Dec 2012,1
KGZ,Jul 2022,1
KOR,Jul 1990,1
KOR,Jan 2016,1
KOR,Jul 2018,1
KOR,Jul 2022,1
LBN,Jan 2023,1
LTU,Jun 1999,1
LTU,Dec 2001,1
LTU,Nov 2010,1
LTU,Jan 2012,1
LTU,Dec 2012,1
LTU,Feb 2018,1
LTU,May 2022,1
LUX,Jul 2003,1
LUX,May 2022,1
LVA,Oct 2001,1
LVA,Jan 2003,1
LVA,Jan 2006,1
LVA,Feb 2012,1
LVA,May 2022,1
MAR,Aug 2000,1
MAR,Feb 2012,1
MAR,Feb 2016,1
MAR,Jan 2017,1
MAR,Feb 2017,1
MAR,Jan 2018,1
MDA,Jan 2006,1
MDA,Jan 2012,1
MDA,Jan 2019,1
MEX,May 1962,1
MEX,Jul 1968,1
MEX,Jan 1988,1
MEX,Apr 1990,1
MEX,Jan 1992,1
MEX,Dec 1992,1
MEX,Dec 1995,1
MEX,Jan 1997,1
