iso,cpi,date,ppi_dom_int,ppi_tot_int,ppi_dom_con,ppi_tot_con,ppi_dom_int_stage,ppi_tot_int_stage,ppi_dom_fin_stage,ppi_tot_fin_stage,ppi_tot_manufact,ppi_dom_manufact,ppi_tot_manufact_food,ppi_dom_manufact_food,cpi_total,cpi_services,cpi_goods
DNK,10.87259,Jan 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.253623,7.079646,NA
DNK,10.91937,Feb 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.946043,NA,NA
DNK,10.94744,Mar 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.557641,NA,NA
DNK,11.00358,Apr 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.347826,5.982906,NA
DNK,11.04101,May 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517272,NA,NA
DNK,11.12522,Jun 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.035336,NA,NA
DNK,11.76148,Jul 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.84656,16.10169,NA
DNK,11.79891,Aug 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.61403,NA,NA
DNK,11.82698,Sep 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.39301,NA,NA
DNK,11.87376,Oct 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25196,15.83333,NA
DNK,11.95798,Nov 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.64935,NA,NA
DNK,11.97669,Dec 1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53541,NA,NA
DNK,12.00476,Jan 1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.41308,15.70248,NA
DNK,12.03283,Feb 1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.19709,15.70248,NA
DNK,12.09833,Mar 1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.51282,16.39344,NA
DNK,12.32289,Apr 1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9898,16.12903,NA
DNK,12.41646,May 1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45763,15.07936,NA
DNK,12.45389,Jun 1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.94281,13.28125,NA
