iso,date,Storm
AFG,May 1993,1
AFG,Jan 2005,1
AFG,Jan 2006,1
AFG,Feb 2006,1
AFG,Feb 2011,1
AFG,Feb 2014,1
AFG,Jan 2017,1
AFG,Feb 2017,1
AFG,Jan 2020,1
AIA,Jan 1955,1
AIA,Sep 1960,1
AIA,Sep 1979,1
AIA,Nov 1999,1
AIA,Sep 2017,1
ALB,Jan 2002,1
ALB,Jan 2005,1
ANT,Dec 1954,1
ANT,Sep 1960,1
ANT,Sep 1989,1
ANT,Sep 1995,1
ARG,Jan 1973,1
ARG,Feb 1974,1
ARG,Mar 1975,1
ARG,Oct 1978,1
ARG,Dec 1986,1
ARG,Jan 1987,1
ARG,Feb 1993,1
ARG,Apr 1995,1
ARG,Feb 1998,1
ARG,Sep 2000,1
ARG,Dec 2000,1
ARG,Jan 2001,1
ARG,Apr 2001,1
ARG,Oct 2002,1
ARG,Nov 2003,1
ARG,Jan 2005,1
ARG,Sep 2009,1
ARG,Apr 2012,1
ARG,Oct 2012,1
ARG,Dec 2013,1
ARG,Feb 2015,1
ARG,Apr 2018,1
ARG,Jan 2020,1
ARG,Sep 2023,1
ARM,May 2013,1
ARM,Aug 2018,1
ARM,Jun 2019,1
ARM,Jul 2020,1
ARM,Jun 2023,1
ASM,Jan 1966,1
ASM,Jan 1989,1
ASM,Jan 2004,1
ASM,Feb 2005,1
ATG,Sep 1950,1
ATG,Sep 1960,1
ATG,Sep 1966,1
ATG,Sep 1989,1
ATG,Aug 1990,1
ATG,Sep 1995,1
ATG,Sep 1998,1
ATG,Oct 1999,1
ATG,Nov 1999,1
ATG,Oct 2008,1
ATG,Aug 2010,1
ATG,Sep 2017,1
AUS,Jan 1970,1
AUS,Dec 1971,1
AUS,Jan 1974,1
AUS,Dec 1974,1
AUS,Nov 1976,1
AUS,Apr 1978,1
AUS,Mar 1979,1
AUS,Apr 1982,1
AUS,Nov 1982,1
AUS,Dec 1982,1
AUS,Jan 1985,1
AUS,Feb 1986,1
AUS,Aug 1986,1
AUS,Oct 1986,1
AUS,Mar 1988,1
AUS,Mar 1989,1
AUS,Apr 1989,1
AUS,Dec 1990,1
AUS,Jan 1991,1
AUS,Nov 1991,1
AUS,Feb 1992,1
AUS,Dec 1992,1
AUS,Sep 1993,1
AUS,Dec 1993,1
AUS,Jan 1994,1
AUS,May 1994,1
AUS,Nov 1994,1
AUS,Feb 1995,1
AUS,Apr 1995,1
AUS,Dec 1995,1
AUS,Feb 1996,1
AUS,Apr 1996,1
AUS,Aug 1996,1
AUS,Sep 1996,1
AUS,Dec 1996,1
AUS,Feb 1999,1
AUS,Mar 1999,1
AUS,Apr 1999,1
AUS,Jul 1999,1
AUS,Feb 2000,1
AUS,Apr 2000,1
AUS,Dec 2000,1
AUS,Jan 2001,1
AUS,Apr 2001,1
AUS,Feb 2002,1
AUS,Sep 2002,1
AUS,Dec 2002,1
AUS,Jan 2003,1
AUS,May 2003,1
AUS,Oct 2003,1
AUS,Dec 2003,1
AUS,Jan 2004,1
AUS,Jul 2004,1
AUS,Nov 2004,1
AUS,Jan 2005,1
AUS,Dec 2005,1
AUS,Jan 2006,1
AUS,Mar 2006,1
AUS,Mar 2007,1
